id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm10-1,1,Schabelle & Masskito GX,260,Pflanze,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-2,2,Raupy,40,Pflanze,,Basis,Häufig,Shibuzoh.,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-3,3,Safcon,70,Pflanze,,Rang 1,Ungewöhnlich,Shigenori Negishi,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-4,4,Smettbo,130,Pflanze,,Rang 2,Selten,Midori Harada,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-5,5,Myrapla,50,Pflanze,,Basis,Häufig,0313,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-6,6,Myrapla,60,Pflanze,,Basis,Häufig,Asako Ito,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-7,7,Duflor,80,Pflanze,,Rang 1,Ungewöhnlich,Anesaki Dynamic,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-8,8,Giflor,140,Pflanze,,Rang 2,Selten,Suwama Chiaki,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-9,9,Bluzuk,60,Pflanze,,Basis,Häufig,kirisAki,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-10,10,Bluzuk,60,Pflanze,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-11,11,Omot,90,Pflanze,,Rang 1,Selten,Mina Nakai,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-12,12,Omot GX,200,Pflanze,,,Ultra Selten,5ban Graphics,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-13,13,Knofensa,50,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-14,14,Ultrigaria,80,Pflanze,,Rang 1,Ungewöhnlich,otumami,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-15,15,Sarzenia,140,Pflanze,,Rang 2,Selten,Anesaki Dynamic,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-16,16,Tangela,80,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-17,17,Tangoloss,130,Pflanze,,Rang 1,Selten,kodama,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-18,18,Mabula,60,Pflanze,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-19,19,Katagami,70,Pflanze,,Basis,Selten,Shin Nagasawa,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-20,20,Reshiram & Glurak GX,270,Feuer,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-21,21,Fukano,80,Feuer,,Basis,Häufig,tetsuya koizumi,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-22,22,Arkani,140,Feuer,,Rang 1,Selten,Shin Nagasawa,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-23,23,Flampion,80,Feuer,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-24,24,Flampivian,130,Feuer,,Rang 1,Selten,Midori Harada,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-25,25,Volcanion,120,Feuer,,Basis,Selten,Satoshi Shirai,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-26,26,Flamiau,50,Feuer,,Basis,Häufig,0313,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-27,27,Flamiau,60,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-28,28,Miezunder,80,Feuer,,Rang 1,Ungewöhnlich,tetsuya koizumi,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-29,29,Fuegro,160,Feuer,,Rang 2,Selten,Misa Tsutsui,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-30,30,Molunk,70,Feuer,,Basis,Häufig,Yusuke Ohmura,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-31,31,Amfira,100,Feuer,,Rang 1,Selten,hatachu,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-32,32,Kopplosio,120,Feuer,,Basis,Selten,kawayoo,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
sm10-33,33,Schiggy,60,Wasser,,Basis,Häufig,tetsuya koizumi,"normal, reverse, holo",Kräfte im Einklang,Sonne & Mond,234
