id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm10-1,1,Pheromosa & Buzzwole GX,260,Grass,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-2,2,Caterpie,40,Grass,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-3,3,Metapod,70,Grass,Caterpie,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-4,4,Butterfree,130,Grass,Metapod,Stage2,Rare,Midori Harada,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-5,5,Oddish,50,Grass,,Basic,Common,0313,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-6,6,Oddish,60,Grass,,Basic,Common,Asako Ito,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-7,7,Gloom,80,Grass,Oddish,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-8,8,Vileplume,140,Grass,Gloom,Stage2,Rare,Suwama Chiaki,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-9,9,Venonat,60,Grass,,Basic,Common,kirisAki,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-10,10,Venonat,60,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-11,11,Venomoth,90,Grass,Venonat,Stage1,Rare,Mina Nakai,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-12,12,Venomoth GX,200,Grass,Venonat,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-13,13,Bellsprout,50,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-14,14,Weepinbell,80,Grass,Bellsprout,Stage1,Uncommon,otumami,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-15,15,Victreebel,140,Grass,Weepinbell,Stage2,Rare,Anesaki Dynamic,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-16,16,Tangela,80,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-17,17,Tangrowth,130,Grass,Tangela,Stage1,Rare,kodama,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-18,18,Grubbin,60,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-19,19,Kartana,70,Grass,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-20,20,Reshiram & Charizard GX,270,Fire,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-21,21,Growlithe,80,Fire,,Basic,Common,tetsuya koizumi,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-22,22,Arcanine,140,Fire,Growlithe,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-23,23,Darumaka,80,Fire,,Basic,Common,Yuka Morii,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-24,24,Darmanitan,130,Fire,Darumaka,Stage1,Rare,Midori Harada,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-25,25,Volcanion,120,Fire,,Basic,Rare,Satoshi Shirai,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-26,26,Litten,50,Fire,,Basic,Common,0313,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-27,27,Litten,60,Fire,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-28,28,Torracat,80,Fire,Litten,Stage1,Uncommon,tetsuya koizumi,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-29,29,Incineroar,160,Fire,Torracat,Stage2,Rare,Misa Tsutsui,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-30,30,Salandit,70,Fire,,Basic,Common,Yusuke Ohmura,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
sm10-31,31,Salazzle,100,Fire,Salandit,Stage1,Rare,hatachu,"normal, reverse, holo",Unbroken Bonds,Sun & Moon,234
