id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
hgss2-1,1,Jirachi,60,Psycho,,Basis,"Selten, Holografisch",Wataru Kawahara,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-2,2,Magbrant,110,Feuer,,Rang 1,"Selten, Holografisch",Hajime Kusajima,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-3,3,Manaphy,60,Wasser,,Basis,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-4,4,Metagross,130,Psycho,,Rang 2,"Selten, Holografisch",Wataru Kawahara,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-5,5,Traunmagil,90,Psycho,,Rang 1,"Selten, Holografisch",Hideaki Hakozaki,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-6,6,Octillery,80,Wasser,,Rang 1,"Selten, Holografisch",Ken Sugimori,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-7,7,Quaxo,120,Wasser,,Rang 2,"Selten, Holografisch",Naoyo Kimura,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-8,8,Shaymin,70,Pflanze,,Basis,"Selten, Holografisch",Hideaki Hakozaki,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-9,9,Mogelbaum,90,Kampf,,Basis,"Selten, Holografisch",Sachiko Adachi,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-10,10,Chelterrar,140,Pflanze,,Rang 2,"Selten, Holografisch",match,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-11,11,Xatu,90,Psycho,,Rang 1,"Selten, Holografisch",sui,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-12,12,Bibor,110,Pflanze,,Rang 2,Selten,Kyoko Umemoto,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-13,13,Turtok,130,Wasser,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-14,14,Iksbat,110,Psycho,,Rang 2,Selten,kawayoo,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-15,15,Ibitak,80,Farblos,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-16,16,Bojelin,80,Wasser,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-17,17,Seedraking,130,Wasser,,Rang 2,Selten,Shin Nagasawa,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-18,18,Lanturn,90,Elektro,,Rang 1,Selten,sui,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-19,19,Lucario,90,Kampf,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-20,20,Vulnona,90,Feuer,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-21,21,Quappo,130,Wasser,,Rang 2,Selten,Naoyo Kimura,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-22,22,Rasaff,90,Kampf,,Rang 1,Selten,Sachiko Adachi,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-23,23,Roserade,90,Pflanze,,Rang 1,Selten,Takashi Yamaguchi,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-24,24,Stahlos,120,Metall,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-25,25,Qurtel,80,Feuer,,Basis,Selten,Hideaki Hakozaki,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-26,26,Despotar,140,Unlicht,,Rang 2,Selten,Kouki Saitou,"reverse, holo",Entfesselt,HeartGold SoulSilver,96
hgss2-27,27,Ursaring,100,Farblos,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-28,28,Kinoso,80,Pflanze,,Rang 1,Ungewöhnlich,match,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-29,29,Dummisel,60,Farblos,,Basis,Ungewöhnlich,Takashi Yamaguchi,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-30,30,Golbat,80,Psycho,,Rang 1,Ungewöhnlich,kawayoo,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-31,31,Chelcarain,90,Pflanze,,Rang 1,Ungewöhnlich,match,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-32,32,Kokuna,80,Pflanze,,Rang 1,Ungewöhnlich,Kyoko Umemoto,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-33,33,Metang,80,Psycho,,Rang 1,Ungewöhnlich,Wataru Kawahara,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-34,34,Minun,60,Elektro,,Basis,Ungewöhnlich,Kouki Saitou,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-35,35,Camaub,60,Feuer,,Basis,Ungewöhnlich,Hajime Kusajima,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-36,36,Plusle,60,Elektro,,Basis,Ungewöhnlich,Kouki Saitou,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-37,37,Quaputzi,80,Wasser,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-38,38,Pupitar,70,Kampf,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-39,39,Pupitar,80,Kampf,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-40,40,Seemon,80,Wasser,,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-41,41,Tauros,90,Farblos,,Basis,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-42,42,Schillok,80,Wasser,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-43,43,Griffel,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-44,44,Tanhel,60,Psycho,,Basis,Häufig,Wataru Kawahara,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-45,45,Bamelin,60,Wasser,,Basis,Häufig,Masakazu Fukuda,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-46,46,Venuflibis,80,Pflanze,,Basis,Häufig,Wataru Kawahara,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-47,47,Kikugi,50,Pflanze,,Basis,Häufig,match,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
hgss2-48,48,Lampi,60,Elektro,,Basis,Häufig,sui,"normal, reverse",Entfesselt,HeartGold SoulSilver,96
