id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
hgss2-1,1,Jirachi,60,Psy,,De base,Rare Holo,Wataru Kawahara,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-2,2,Maganon,110,Feu,Magmar,Niveau 1,Rare Holo,Hajime Kusajima,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-3,3,Manaphy,60,Eau,,De base,Rare Holo,Masakazu Fukuda,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-4,4,Metalosse,130,Psy,Metang,Niveau 2,Rare Holo,Wataru Kawahara,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-5,5,Magirêve,90,Psy,Feuforêve,Niveau 1,Rare Holo,Hideaki Hakozaki,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-6,6,Octillery,80,Eau,Remoraid,Niveau 1,Rare Holo,Ken Sugimori,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-7,7,Tarpaud,120,Eau,Tetarte,Niveau 2,Rare Holo,Naoyo Kimura,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-8,8,Shaymin,70,Plante,,De base,Rare Holo,Hideaki Hakozaki,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-9,9,Simularbre,90,Combat,,De base,Rare Holo,Sachiko Adachi,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-10,10,Torterra,140,Plante,Boskara,Niveau 2,Rare Holo,match,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-11,11,Xatu,90,Psy,Natu,Niveau 1,Rare Holo,sui,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-12,12,Dardargnan,110,Plante,Coconfort,Niveau 2,Rare,Kyoko Umemoto,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-13,13,Tortank,130,Eau,Carabaffe,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-14,14,Nostenfer,110,Psy,Nosferalto,Niveau 2,Rare,kawayoo,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-15,15,Rapasdepic,80,Incolore,Piafabec,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-16,16,Mustéflott,80,Eau,Mustébouée,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-17,17,Hyporoi,130,Eau,Hypocean,Niveau 2,Rare,Shin Nagasawa,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-18,18,Lanturn,90,Électrique,Loupio,Niveau 1,Rare,sui,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-19,19,Lucario,90,Combat,Riolu,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-20,20,Feunard,90,Feu,Goupix,Niveau 1,Rare,Hajime Kusajima,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-21,21,Tartard,130,Eau,Tetarte,Niveau 2,Rare,Naoyo Kimura,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-22,22,Colossinge,90,Combat,Férosinge,Niveau 1,Rare,Sachiko Adachi,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-23,23,Roserade,90,Plante,Roselia,Niveau 1,Rare,Takashi Yamaguchi,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-24,24,Steelix,120,Métal,Onix,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-25,25,Chartor,80,Feu,,De base,Rare,Hideaki Hakozaki,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-26,26,Tyranocif,140,Obscurité,Ymphect,Niveau 2,Rare,Kouki Saitou,"reverse, holo",Déchaînement,HeartGold SoulSilver,96
hgss2-27,27,Ursaring,100,Incolore,Teddiursa,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-28,28,Ceriflor,80,Plante,Ceribou,Niveau 1,Peu Commune,match,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-29,29,Insolourdo,60,Incolore,,De base,Peu Commune,Takashi Yamaguchi,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-30,30,Nosferalto,80,Psy,Nosferapti,Niveau 1,Peu Commune,kawayoo,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-31,31,Boskara,90,Plante,Tortipouss,Niveau 1,Peu Commune,match,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-32,32,Coconfort,80,Plante,Aspicot,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-33,33,Metang,80,Psy,Terhal,Niveau 1,Peu Commune,Wataru Kawahara,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-34,34,Negapi,60,Électrique,,De base,Peu Commune,Kouki Saitou,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-35,35,Chamallot,60,Feu,,De base,Peu Commune,Hajime Kusajima,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-36,36,Posipi,60,Électrique,,De base,Peu Commune,Kouki Saitou,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-37,37,Tetarte,80,Eau,Ptitard,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-38,38,Ymphect,70,Combat,Embrylex,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-39,39,Ymphect,80,Combat,Embrylex,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-40,40,Hypocean,80,Eau,Hypotrempe,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-41,41,Tauros,90,Incolore,,De base,Peu Commune,Tomokazu Komiya,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-42,42,Carabaffe,80,Eau,Carapuce,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-43,43,Capumain,50,Incolore,,De base,Commune,Ken Sugimori,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
hgss2-44,44,Terhal,60,Psy,,De base,Commune,Wataru Kawahara,"normal, reverse",Déchaînement,HeartGold SoulSilver,96
