id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh4-1,1,Hornliu,40,Pflanze,,Basis,Häufig,sui,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-2,2,Kokuna,80,Pflanze,Hornliu,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-3,3,Bibor,130,Pflanze,Kokuna,Rang 2,Selten,KEIICHIRO ITO,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-4,4,Owei,60,Pflanze,,Basis,Häufig,Hasuno,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-5,5,Kokowei,140,Pflanze,Owei,Rang 1,Selten,miki kudo,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-6,6,Yanma,80,Pflanze,,Basis,Häufig,MAHOU,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-7,7,Yanmega,130,Pflanze,Yanma,Rang 1,Selten,Uta,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-8,8,Tannza,60,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-9,9,Celebi,60,Pflanze,,Basis,Atemberaubend,5ban Graphics,holo,Farbenschock,Schwert & Schild,203
swsh4-10,10,Samurzel,60,Pflanze,,Basis,Häufig,Suwama Chiaki,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-11,11,Blanas,80,Pflanze,Samurzel,Rang 1,Ungewöhnlich,otumami,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-12,12,Tengulist,150,Pflanze,Blanas,Rang 2,Selten,Uta,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-13,13,Nincada,40,Pflanze,,Basis,Häufig,Sekio,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-14,14,Ninjask,60,Pflanze,Nincada,Rang 1,Selten,Tomokazu Komiya,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-15,15,Shaymin,70,Pflanze,,Basis,Holografisch Selten,Shibuzoh.,"reverse, holo",Farbenschock,Schwert & Schild,203
swsh4-16,16,Genesect,120,Pflanze,,Basis,Holografisch Selten,kawayoo,"reverse, holo",Farbenschock,Schwert & Schild,203
swsh4-17,17,Mähikel,70,Pflanze,,Basis,Häufig,Saya Tsuruta,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-18,18,Chevrumm,130,Pflanze,Mähikel,Rang 1,Ungewöhnlich,Mina Nakai,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-19,19,Moruda,130,Pflanze,,Basis,Ungewöhnlich,Masakazu Fukuda,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-20,20,Maritellit V,180,Pflanze,,Basis,Holografisch Selten V,5ban Graphics,holo,Farbenschock,Schwert & Schild,203
swsh4-21,21,Maritellit VMAX,310,Pflanze,Maritellit-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Farbenschock,Schwert & Schild,203
swsh4-22,22,Zarude V,210,Pflanze,,Basis,Holografisch Selten V,PLANETA Igarashi,holo,Farbenschock,Schwert & Schild,203
swsh4-23,23,Glumanda,70,Feuer,,Basis,Häufig,MAHOU,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-24,24,Glutexo,90,Feuer,Glumanda,Rang 1,Ungewöhnlich,SATOSHI NAKAI,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-25,25,Glurak,170,Feuer,Glutexo,Rang 2,Selten,Ryuta Fuse,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-26,26,Flamara,110,Feuer,Evoli,Rang 1,Selten,Eri Yamaki,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-27,27,Schneckmag,70,Feuer,,Basis,Häufig,Mina Nakai,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-28,28,Magcargo,130,Feuer,Schneckmag,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-29,29,Fiaro V,190,Feuer,,Basis,Holografisch Selten V,Ryota Murayama,holo,Farbenschock,Schwert & Schild,203
swsh4-30,30,Aquana,110,Wasser,Evoli,Rang 1,Selten,kodama,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-31,31,Wailmer,100,Wasser,,Basis,Häufig,Yukiko Baba,"normal, reverse",Farbenschock,Schwert & Schild,203
swsh4-32,32,Wailord,200,Wasser,Wailmer,Rang 1,Holografisch Selten,SATOSHI NAKAI,"reverse, holo",Farbenschock,Schwert & Schild,203
