id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh4-1,1,Weedle,40,Grass,,Basic,Common,sui,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-2,2,Kakuna,80,Grass,Weedle,Stage1,Uncommon,Naoyo Kimura,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-3,3,Beedrill,130,Grass,Kakuna,Stage2,Rare,KEIICHIRO ITO,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-4,4,Exeggcute,60,Grass,,Basic,Common,Hasuno,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-5,5,Exeggutor,140,Grass,Exeggcute,Stage1,Rare,miki kudo,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-6,6,Yanma,80,Grass,,Basic,Common,MAHOU,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-7,7,Yanmega,130,Grass,Yanma,Stage1,Rare,Uta,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-8,8,Pineco,60,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-9,9,Celebi,60,Grass,,Basic,Amazing Rare,5ban Graphics,holo,Vivid Voltage,Sword & Shield,203
swsh4-10,10,Seedot,60,Grass,,Basic,Common,Suwama Chiaki,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-11,11,Nuzleaf,80,Grass,Seedot,Stage1,Uncommon,otumami,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-12,12,Shiftry,150,Grass,Nuzleaf,Stage2,Rare,Uta,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-13,13,Nincada,40,Grass,,Basic,Common,Sekio,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-14,14,Ninjask,60,Grass,Nincada,Stage1,Rare,Tomokazu Komiya,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-15,15,Shaymin,70,Grass,,Basic,Holo Rare,Shibuzoh.,"reverse, holo",Vivid Voltage,Sword & Shield,203
swsh4-16,16,Genesect,120,Grass,,Basic,Holo Rare,kawayoo,"reverse, holo",Vivid Voltage,Sword & Shield,203
swsh4-17,17,Skiddo,70,Grass,,Basic,Common,Saya Tsuruta,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-18,18,Gogoat,130,Grass,Skiddo,Stage1,Uncommon,Mina Nakai,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-19,19,Dhelmise,130,Grass,,Basic,Uncommon,Masakazu Fukuda,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-20,20,Orbeetle V,180,Grass,,Basic,Holo Rare V,5ban Graphics,holo,Vivid Voltage,Sword & Shield,203
swsh4-21,21,Orbeetle VMAX,310,Grass,Orbeetle V,VMAX,Holo Rare VMAX,5ban Graphics,holo,Vivid Voltage,Sword & Shield,203
swsh4-22,22,Zarude V,210,Grass,,Basic,Holo Rare V,PLANETA Igarashi,holo,Vivid Voltage,Sword & Shield,203
swsh4-23,23,Charmander,70,Fire,,Basic,Common,MAHOU,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-24,24,Charmeleon,90,Fire,Charmander,Stage1,Uncommon,SATOSHI NAKAI,"normal, reverse",Vivid Voltage,Sword & Shield,203
swsh4-25,25,Charizard,170,Fire,Charmeleon,Stage2,Rare,Ryuta Fuse,"normal, reverse",Vivid Voltage,Sword & Shield,203
