id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh4-1,1,Aspicot,40,Plante,,De base,Commune,sui,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-2,2,Coconfort,80,Plante,Aspicot,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-3,3,Dardargnan,130,Plante,Coconfort,Niveau 2,Rare,KEIICHIRO ITO,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-4,4,Noeunoeuf,60,Plante,,De base,Commune,Hasuno,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-5,5,Noadkoko,140,Plante,Noeunoeuf,Niveau 1,Rare,miki kudo,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-6,6,Yanma,80,Plante,,De base,Commune,MAHOU,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-7,7,Yanmega,130,Plante,Yanma,Niveau 1,Rare,Uta,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-8,8,Pomdepik,60,Plante,,De base,Commune,Tomokazu Komiya,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-9,9,Celebi,60,Plante,,De base,Magnifique,5ban Graphics,holo,Voltage Éclatant,Épée et Bouclier,203
swsh4-10,10,Grainipiot,60,Plante,,De base,Commune,Suwama Chiaki,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-11,11,Pifeuil,80,Plante,Grainipiot,Niveau 1,Peu Commune,otumami,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-12,12,Tengalice,150,Plante,Pifeuil,Niveau 2,Rare,Uta,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-13,13,Ningale,40,Plante,,De base,Commune,Sekio,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-14,14,Ninjask,60,Plante,Ningale,Niveau 1,Rare,Tomokazu Komiya,"normal, reverse",Voltage Éclatant,Épée et Bouclier,203
swsh4-15,15,Shaymin,70,Plante,,De base,Holo Rare,Shibuzoh.,"reverse, holo",Voltage Éclatant,Épée et Bouclier,203
swsh4-16,16,Genesect,120,Plante,,De base,Holo Rare,kawayoo,"reverse, holo",Voltage Éclatant,Épée et Bouclier,203
