id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv10.5w-001,001,Strawickl,50,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-002,002,Folikon,80,Pflanze,Strawickl,Rang 1,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-003,003,Matrifol,130,Pflanze,Folikon,Rang 2,Ungewöhnlich,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-004,004,Waumboll,60,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-005,005,Elfun-ex,230,Pflanze,Waumboll,Rang 1,Doppelselten,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-006,006,Sesokitz,70,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-007,007,Kronjuwild,130,Pflanze,Sesokitz,Rang 1,Ungewöhnlich,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-008,008,Schnuthelm,60,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-009,009,Hydragil,100,Pflanze,Schnuthelm,Rang 1,Ungewöhnlich,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-010,010,Viridium,120,Pflanze,,Basis,Selten,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-011,011,Floink,70,Feuer,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-012,012,Ferkokel,110,Feuer,Floink,Rang 1,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-013,013,Flambirex,180,Feuer,Ferkokel,Rang 2,Selten,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-014,014,Grillmak,70,Feuer,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-015,015,Grillchita,100,Feuer,Grillmak,Rang 1,Ungewöhnlich,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-016,016,Lichtel,60,Feuer,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-017,017,Laternecto,80,Feuer,Lichtel,Rang 1,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-018,018,Skelabra,150,Feuer,Laternecto,Rang 2,Selten,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-019,019,Furnifraß,120,Feuer,,Basis,Ungewöhnlich,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-020,020,Reshiram-ex,230,Feuer,,Basis,Doppelselten,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-021,021,Ottaro,70,Wasser,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-022,022,Zwottronin,100,Wasser,Ottaro,Rang 1,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-023,023,Admurai,160,Wasser,Zwottronin,Rang 2,Selten,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-024,024,Barschuft,90,Wasser,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
sv10.5w-025,025,Piccolente,70,Wasser,,Basis,Häufig,,"normal, reverse, holo",Weiße Flammen,Karmesin & Purpur,173
