id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A4-001,001,Mystherbe,50,Plante,,De base,Un Diamant,ryoma uratsuka,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-002,002,Ortide,80,Plante,,Niveau 1,Deux Diamants,Kyoko Umemoto,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-003,003,Joliflor,130,Plante,,Niveau 2,Trois Diamants,Nagomi Nijo,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-004,004,Saquedeneu,80,Plante,,De base,Un Diamant,OOYAMA,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-005,005,Bouldeneu,130,Plante,,Niveau 1,Trois Diamants,tetsuya koizumi,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-006,006,Insécateur,70,Plante,,De base,Un Diamant,Narumi Sato,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-007,007,Scarabrute,90,Plante,,De base,Un Diamant,Toshinao Aoki,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-008,008,Germignon,60,Plante,,De base,Un Diamant,Naoyo Kimura,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-009,009,Macronium,90,Plante,,Niveau 1,Deux Diamants,Mizue,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-010,010,Méganium,150,Plante,,Niveau 2,Trois Diamants,Hajime Kusajima,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-011,011,Coxy,60,Plante,,De base,Un Diamant,Sumiyoshi Kizuki,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-012,012,Coxyclaque,80,Plante,,Niveau 1,Un Diamant,Hitoshi Ariga,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-013,013,Granivol,50,Plante,,De base,Un Diamant,Mékayu,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-014,014,Floravol,70,Plante,,Niveau 1,Deux Diamants,Kyoko Umemoto,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-015,015,Cotovol,120,Plante,,Niveau 2,Trois Diamants,Kagemaru Himeno,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-016,016,Tournegrin,40,Plante,,De base,Un Diamant,0313,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-017,017,Héliatronc,90,Plante,,Niveau 1,Deux Diamants,Yumi,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-018,018,Yanma,60,Plante,,De base,Un Diamant,Tomokazu Komiya,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
A4-019,019,Yanmega,90,Plante,,Niveau 1,Deux Diamants,Uta,"normal, reverse, holo",Sagesse Entre Ciel et Mer,Jeu de Cartes à Collectionner Pokémon Pocket,241
