id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
basep-1,1,Pikachu,60,Lightning,,Basic,Common,Keiji Kinebuchi,normal,Wizards Black Star Promos,Base,53
basep-2,2,Electabuzz,60,Lightning,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-3,3,Mewtwo,70,Psychic,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-4,4,Pikachu,50,Lightning,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-5,5,Dragonite,90,Colorless,Dragonair,Stage2,Common,Toshinao Aoki,normal,Wizards Black Star Promos,Base,53
basep-6,6,Arcanine,70,Fire,Growlithe,Stage1,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-7,7,Jigglypuff,70,Colorless,,Basic,Common,Keiji Kinebuchi,normal,Wizards Black Star Promos,Base,53
basep-8,8,Mew,50,Psychic,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-9,9,Mew,50,Psychic,,Basic,Common,Ken Sugimori,holo,Wizards Black Star Promos,Base,53
basep-10,10,Meowth,50,Colorless,,Basic,Common,Kagemaru Himeno,holo,Wizards Black Star Promos,Base,53
basep-11,11,Eevee,30,Colorless,,Basic,Common,Kagemaru Himeno,"normal, holo",Wizards Black Star Promos,Base,53
basep-12,12,Mewtwo,60,Psychic,,Basic,Common,Christopher Rush,normal,Wizards Black Star Promos,Base,53
basep-13,13,Venusaur,100,Grass,Ivysaur,Stage2,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-14,14,Mewtwo,70,Psychic,,Basic,Common,Benimaru Itoh,normal,Wizards Black Star Promos,Base,53
basep-15,15,Cool Porygon,50,Colorless,,Basic,Common,Hiromichi Sugiyama,normal,Wizards Black Star Promos,Base,53
basep-16,16,Computer Error,,,,,Common,Sumiyoshi Kizuki,normal,Wizards Black Star Promos,Base,53
basep-17,17,Dark Persian,60,Colorless,Meowth,Stage1,Common,Ken Sugimori,holo,Wizards Black Star Promos,Base,53
basep-18,18,Team Rocket's Meowth,40,Colorless,,Basic,Common,Kunihiko Yuyama,holo,Wizards Black Star Promos,Base,53
basep-19,19,Sabrina's Abra,40,Psychic,,Basic,Common,Atsuko Nishida,normal,Wizards Black Star Promos,Base,53
basep-20,20,Psyduck,50,Water,,Basic,Common,Kagemaru Himeno,normal,Wizards Black Star Promos,Base,53
basep-21,21,Moltres,70,Fire,,Basic,Common,Naoyo Kimura,normal,Wizards Black Star Promos,Base,53
basep-22,22,Articuno,70,Water,,Basic,Common,Naoyo Kimura,normal,Wizards Black Star Promos,Base,53
basep-23,23,Zapdos,70,Lightning,,Basic,Common,Naoyo Kimura,normal,Wizards Black Star Promos,Base,53
basep-24,24,___________'s Pikachu,50,Lightning,,Basic,Common,Kagemaru Himeno,holo,Wizards Black Star Promos,Base,53
basep-25,25,Flying Pikachu,40,Lightning,,Basic,Common,Toshinao Aoki,normal,Wizards Black Star Promos,Base,53
basep-26,26,Pikachu,40,Lightning,,Basic,Common,Gakuji Nomoto,normal,Wizards Black Star Promos,Base,53
basep-27,27,Pikachu,30,Lightning,,Basic,Common,Atsuko Nishida,normal,Wizards Black Star Promos,Base,53
basep-28,28,Surfing Pikachu,50,Lightning,,Basic,Common,Toshinao Aoki,normal,Wizards Black Star Promos,Base,53
basep-29,29,Marill,50,Water,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-30,30,Togepi,30,Colorless,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-31,31,Cleffa,30,Colorless,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-32,32,Smeargle,40,Colorless,,Basic,Common,Tomokazu Komiya,normal,Wizards Black Star Promos,Base,53
basep-33,33,Scizor,70,Metal,Scyther,Stage1,Common,Hironobu Yoshida,reverse,Wizards Black Star Promos,Base,53
basep-34,34,Entei,80,Fire,,Basic,Common,Ken Sugimori,reverse,Wizards Black Star Promos,Base,53
basep-35,35,Pichu,30,Lightning,,Basic,Common,Ken Sugimori,reverse,Wizards Black Star Promos,Base,53
basep-36,36,Igglybuff,30,Colorless,,Basic,Common,Kagemaru Himeno,normal,Wizards Black Star Promos,Base,53
basep-37,37,Hitmontop,60,Fighting,,Basic,Common,Atsuko Nishida,normal,Wizards Black Star Promos,Base,53
basep-38,38,Unown [J],40,Psychic,,Basic,Common,Hideki Kazama,normal,Wizards Black Star Promos,Base,53
basep-39,39,Misdreavus,50,Psychic,,Basic,Common,Shin-ichi Yoshida,normal,Wizards Black Star Promos,Base,53
basep-40,40,Pokémon Center,,,,,Common,"""Big Mama"" Tagawa",normal,Wizards Black Star Promos,Base,53
basep-41,41,Lucky Stadium,,,,,Common,"""Big Mama"" Tagawa",normal,Wizards Black Star Promos,Base,53
basep-42,42,Pokémon Tower,,,,,Common,Keiji Kinebuchi,normal,Wizards Black Star Promos,Base,53
basep-43,43,Machamp,90,Fighting,Machoke,Stage2,Common,Tomokazu Komiya,normal,Wizards Black Star Promos,Base,53
basep-44,44,Magmar,60,Fire,,Basic,Common,Atsuko Nishida,normal,Wizards Black Star Promos,Base,53
basep-45,45,Scyther,60,Grass,,Basic,Common,Hironobu Yoshida,normal,Wizards Black Star Promos,Base,53
basep-46,46,Electabuzz,60,Lightning,,Basic,Common,Miki Tanaka,normal,Wizards Black Star Promos,Base,53
basep-47,47,Mew,40,Psychic,,Basic,Common,Ken Sugimori,normal,Wizards Black Star Promos,Base,53
basep-48,48,Articuno,80,Water,,Basic,Common,Atsuko Nishida,normal,Wizards Black Star Promos,Base,53
basep-49,49,Snorlax,90,Colorless,,Basic,Common,Craig Turvey,normal,Wizards Black Star Promos,Base,53
basep-50,50,Celebi,50,Grass,,Basic,Common,Hajime Kusajima,normal,Wizards Black Star Promos,Base,53
basep-51,51,Rapidash,60,Fire,Ponyta,Stage1,Common,Mitsuhiro Arita,normal,Wizards Black Star Promos,Base,53
basep-52,52,Ho-oh,80,Fire,,Basic,Common,Mitsuhiro Arita,normal,Wizards Black Star Promos,Base,53
basep-53,53,Suicune,70,Water,,Basic,Common,Atsuko Nishida,normal,Wizards Black Star Promos,Base,53
