id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xyp-XY01,XY01,Marisson,60,Plante,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY02,XY02,Feunnec,60,Feu,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY03,XY03,Grenousse,60,Eau,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY04,XY04,Nymphali,90,Fée,Évoli,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY05,XY05,Yveltal,130,Fée,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY06,XY06,Xerneas,130,Obscurité,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY07,XY07,Xerneas EX,170,Fée,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY08,XY08,Yveltal EX,170,Obscurité,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY09,XY09,Carchacrok EX,170,Dragon,,,Sans Rareté,Ryo Ueda,"normal, reverse, holo",Promo XY,XY,211
xyp-XY10,XY10,Kravarech,100,Dragon,Venalgue,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY100,XY100,Mewtwo,120,Psy,,De base,Sans Rareté,match,"normal, reverse, holo",Promo XY,XY,211
xyp-XY101,XY101,Mewtwo,120,Psy,,De base,Sans Rareté,match,"normal, reverse, holo",Promo XY,XY,211
xyp-XY102,XY102,Dragmara EX,180,Eau,,,Sans Rareté,Toyste Beach,"normal, reverse, holo",Promo XY,XY,211
xyp-XY103,XY103,Mysdibule EX,150,Fée,,,Sans Rareté,Ayaka Yoshida,"normal, reverse, holo",Promo XY,XY,211
xyp-XY104,XY104,M Mysdibule EX,190,Fée,Mysdibule-EX,MÉGA,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY105,XY105,Lien Spirituel Mysdibule,,,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY106,XY106,Léviator EX,180,Eau,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY107,XY107,Mewtwo EX,170,Psy,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY108,XY108,Mackogneur EX,180,Combat,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY109,XY109,Léviator,130,Eau,Magicarpe,Niveau 1,Sans Rareté,Hajime Kusajima,"normal, reverse, holo",Promo XY,XY,211
xyp-XY11,XY11,Cabriolaine,70,Plante,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY110,XY110,Mew,70,Psy,,De base,Sans Rareté,Kouki Saitou,"normal, reverse, holo",Promo XY,XY,211
xyp-XY111,XY111,Celebi,70,Plante,,De base,Sans Rareté,Mitsuhiro Arita,"normal, reverse, holo",Promo XY,XY,211
xyp-XY112,XY112,Jirachi,70,Métal,,De base,Sans Rareté,Kagemaru Himeno,"normal, reverse, holo",Promo XY,XY,211
xyp-XY113,XY113,Manaphy,70,Eau,,De base,Sans Rareté,Hitoshi Ariga,"normal, reverse, holo",Promo XY,XY,211
xyp-XY114,XY114,Darkrai,110,Obscurité,,De base,Sans Rareté,kawayoo,"normal, reverse, holo",Promo XY,XY,211
xyp-XY115,XY115,Shaymin,70,Plante,,De base,Sans Rareté,You Iribi,"normal, reverse, holo",Promo XY,XY,211
xyp-XY116,XY116,Arceus,130,Incolore,,De base,Sans Rareté,Naoki Saito,"normal, reverse, holo",Promo XY,XY,211
xyp-XY117,XY117,Victini,70,Feu,,De base,Sans Rareté,Atsuko Nishida,"normal, reverse, holo",Promo XY,XY,211
xyp-XY118,XY118,Keldeo,90,Eau,,De base,Sans Rareté,Shin Nagasawa,"normal, reverse, holo",Promo XY,XY,211
xyp-XY12,XY12,Monorpale,50,Métal,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY121,XY121,Dracaufeu EX,180,Feu,,,Sans Rareté,Kouki Saitou,"normal, reverse, holo",Promo XY,XY,211
xyp-XY122,XY122,Tortank EX,180,Eau,,,Sans Rareté,kawayoo,"normal, reverse, holo",Promo XY,XY,211
xyp-XY123,XY123,Florizarre EX,180,Plante,,,Sans Rareté,Naoki Saito,"normal, reverse, holo",Promo XY,XY,211
xyp-XY124,XY124,Pikachu EX,130,Électrique,,,Sans Rareté,Megumi Mizutani,"normal, reverse, holo",Promo XY,XY,211
xyp-XY13,XY13,Mackogneur,150,Combat,Machopeur,Niveau 2,Sans Rareté,PLANETA,"normal, reverse, holo",Promo XY,XY,211
xyp-XY131,XY131,Flamajou,60,Feu,,De base,Sans Rareté,sui,"normal, reverse, holo",Promo XY,XY,211
xyp-XY133,XY133,Sachanobi EX,170,Eau,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY137,XY137,Prismillon,120,Plante,Pérégrain,Niveau 2,Sans Rareté,match,"normal, reverse, holo",Promo XY,XY,211
xyp-XY138,XY138,Grenousse,60,Eau,,De base,Sans Rareté,Sanosuke Sakuma,"normal, reverse, holo",Promo XY,XY,211
xyp-XY139,XY139,Floette,70,Fée,Flabébé,Niveau 1,Sans Rareté,Midori Harada,"normal, reverse, holo",Promo XY,XY,211
xyp-XY14,XY14,Desséliande,110,Psy,Brocélôme,Niveau 1,Sans Rareté,Kouki Saitou,"normal, reverse, holo",Promo XY,XY,211
xyp-XY140,XY140,Lucario,100,Combat,Riolu,Niveau 1,Sans Rareté,Naoki Saito,"normal, reverse, holo",Promo XY,XY,211
xyp-XY141,XY141,Rayquaza,120,Dragon,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",Promo XY,XY,211
xyp-XY142,XY142,Créfadet,70,Psy,,De base,Sans Rareté,chibi,"normal, reverse, holo",Promo XY,XY,211
xyp-XY143,XY143,Magicarpe,30,Eau,,De base,Sans Rareté,Saya Tsuruta,"normal, reverse, holo",Promo XY,XY,211
xyp-XY144,XY144,Yanmega,110,Plante,Yanma,Niveau 1,Sans Rareté,Midori Harada,"normal, reverse, holo",Promo XY,XY,211
xyp-XY145,XY145,Volcanion,130,Feu,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY146,XY146,Gamblast,100,Eau,Flingouste,Niveau 1,Sans Rareté,Mitsuhiro Arita,"normal, reverse, holo",Promo XY,XY,211
xyp-XY147,XY147,Hoopa,130,Psy,,De base,Sans Rareté,Yoshinobu Saito,"normal, reverse, holo",Promo XY,XY,211
xyp-XY149,XY149,Xerneas EX,170,Fée,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY15,XY15,Cupcanaille,100,Fée,Sucroquin,Niveau 1,Sans Rareté,Kagemaru Himeno,"normal, reverse, holo",Promo XY,XY,211
xyp-XY150,XY150,Yveltal EX,170,Obscurité,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY151,XY151,Zygarde EX,190,Combat,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY152,XY152,Zygarde,120,Combat,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY153,XY153,Ho-Oh,120,Feu,,De base,Sans Rareté,You Iribi,"normal, reverse, holo",Promo XY,XY,211
xyp-XY154,XY154,Ho-Oh TURBO,150,Feu,Ho-Oh,TURBO,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY155,XY155,Qulbutoké TURBO,140,Psy,Qulbutoké,TURBO,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY156,XY156,Lugia,120,Incolore,,De base,Sans Rareté,Hajime Kusajima,"normal, reverse, holo",Promo XY,XY,211
xyp-XY16,XY16,Chevroum,110,Plante,Cabriolaine,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY17,XY17,Dracaufeu EX,180,Feu,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY18,XY18,Blindépique EX,180,Plante,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY19,XY19,Goupelin EX,170,Feu,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY20,XY20,Amphinobi EX,170,Eau,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY21,XY21,Archéodong,90,Métal,Archéomire,Niveau 1,Sans Rareté,match,"normal, reverse, holo",Promo XY,XY,211
xyp-XY22,XY22,Darkrai,120,Obscurité,,De base,Sans Rareté,Sanosuke Sakuma,"normal, reverse, holo",Promo XY,XY,211
xyp-XY23,XY23,Tengalice,140,Plante,Pifeuil,Niveau 2,Sans Rareté,Sanosuke Sakuma,"normal, reverse, holo",Promo XY,XY,211
xyp-XY24,XY24,Amphinobi,130,Obscurité,Croâporal,Niveau 2,Sans Rareté,Akira Komayama,"normal, reverse, holo",Promo XY,XY,211
xyp-XY25,XY25,Crocorible EX,180,Obscurité,,,Sans Rareté,PLANETA,"normal, reverse, holo",Promo XY,XY,211
xyp-XY26,XY26,Némélios,100,Feu,Hélionceau,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",Promo XY,XY,211
xyp-XY27,XY27,Festival des Champions,,,,,Sans Rareté,Naoki Saito,"normal, reverse, holo",Promo XY,XY,211
xyp-XY28,XY28,Florizarre EX,180,Plante,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY29,XY29,Dracaufeu EX,180,Feu,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY30,XY30,Tortank EX,180,Eau,,,Sans Rareté,Eske Yoshinob,"normal, reverse, holo",Promo XY,XY,211
xyp-XY31,XY31,Xerneas,130,Fée,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",Promo XY,XY,211
xyp-XY32,XY32,Yveltal,130,Obscurité,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",Promo XY,XY,211
xyp-XY33,XY33,Trovato,,,,,Sans Rareté,Ken Sugimori,"normal, reverse, holo",Promo XY,XY,211
