id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-b-1,1,Fletchling,50,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-2,2,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-3,3,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-4,4,Vigoroth,90,Colorless,Slakoth,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-5,5,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-6,6,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-7,7,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-8,8,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-9,9,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-10,10,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-11,11,Honedge,60,Metal,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-12,12,Bidoof,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-13,13,Pawniard,60,Metal,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-14,14,Doublade,80,Metal,Honedge,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-15,15,Slakoth,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-16,16,Bisharp,90,Metal,Pawniard,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-17,17,Patrat,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-18,18,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-19,19,Tierno,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-20,20,Trevor,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-21,21,Pawniard,60,Metal,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-22,22,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-23,23,Doublade,80,Metal,Honedge,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-24,24,Metal Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-25,25,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-26,26,Slakoth,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-27,27,Honedge,60,Metal,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-28,28,Vigoroth,90,Colorless,Slakoth,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-29,29,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
tk-xy-b-30,30,Bisharp,90,Metal,Pawniard,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Bisharp),Trainer kits,30
