id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-b-1,1,Passerouge,50,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-2,2,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-3,3,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-4,4,Vigoroth,90,Incolore,Parecool,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-5,5,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-6,6,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-7,7,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-8,8,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-9,9,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-10,10,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-11,11,Monorpale,60,Métal,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-12,12,Keunotor,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-13,13,Scalpion,60,Métal,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-14,14,Dimoclès,80,Métal,Monorpale,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-15,15,Parecool,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-16,16,Scalproie,90,Métal,Scalpion,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-17,17,Ratentif,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-18,18,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-19,19,Tierno,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-20,20,Trovato,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-21,21,Scalpion,60,Métal,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-22,22,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-23,23,Dimoclès,80,Métal,Monorpale,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-24,24,Énergie Métal,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-25,25,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-26,26,Parecool,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-27,27,Monorpale,60,Métal,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-28,28,Vigoroth,90,Incolore,Parecool,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-29,29,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
tk-xy-b-30,30,Scalproie,90,Métal,Scalpion,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Scalproie),Kits du dresseur,30
