id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-latia-1,1,Grass Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-2,2,Grass Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-3,3,Grass Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-4,4,Fletchling,50,Colorless,,Basic,None,Kyoko Umemoto,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-5,5,Grass Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-6,6,Lombre,80,Grass,Lotad,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-7,7,Treecko,60,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-8,8,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-9,9,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-10,10,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-11,11,Lotad,60,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-12,12,Tangrowth,130,Grass,Tangela,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-13,13,Tangela,80,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-14,14,Latias,100,Psychic,,Basic,None,Masakazu Fukuda,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-15,15,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-16,16,Surskit,50,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-17,17,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-18,18,Grovyle,80,Grass,Treecko,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-19,19,Grass Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-20,20,Acro Bike,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-21,21,Lombre,80,Grass,Lotad,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-22,22,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-23,23,Lotad,60,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-24,24,Treecko,60,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-25,25,Tangrowth,130,Grass,Tangela,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-26,26,Tangela,80,Grass,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-27,27,Grovyle,80,Grass,Treecko,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-28,28,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-29,29,Acro Bike,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
tk-xy-latia-30,30,Latias,100,Psychic,,Basic,None,Masakazu Fukuda,"normal, reverse, holo",XY trainer Kit (Latias),Trainer kits,30
