id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-latia-1,1,Énergie Plante,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-2,2,Énergie Plante,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-3,3,Énergie Plante,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-4,4,Passerouge,50,Incolore,,De base,Sans Rareté,Kyoko Umemoto,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-5,5,Énergie Plante,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-6,6,Lombre,80,Plante,Nénupiot,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-7,7,Arcko,60,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-8,8,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-9,9,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-10,10,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-11,11,Nénupiot,60,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-12,12,Bouldeneu,130,Plante,Saquedeneu,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-13,13,Saquedeneu,80,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-14,14,Latias,100,Psy,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-15,15,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-16,16,Arakdo,50,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-17,17,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-18,18,Massko,80,Plante,Arcko,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-19,19,Énergie Plante,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-20,20,Vélo Cross,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-21,21,Lombre,80,Plante,Nénupiot,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-22,22,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-23,23,Nénupiot,60,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-24,24,Arcko,60,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-25,25,Bouldeneu,130,Plante,Saquedeneu,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-26,26,Saquedeneu,80,Plante,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-27,27,Massko,80,Plante,Arcko,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-28,28,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-29,29,Vélo Cross,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
tk-xy-latia-30,30,Latias,100,Psy,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",XY Kit du dresseur (Latias),Kits du dresseur,30
