id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-latio-1,1,Skitty,50,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-2,2,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-3,3,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-4,4,Rhydon,100,Fighting,Rhyhorn,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-5,5,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-6,6,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-7,7,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-8,8,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-9,9,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-10,10,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-11,11,Machop,70,Fighting,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-12,12,Solrock,80,Fighting,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-13,13,Latios,110,Psychic,,Basic,None,Masakazu Fukuda,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-14,14,Machoke,90,Fighting,Machop,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-15,15,Rhyhorn,80,Fighting,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-16,16,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-17,17,Fighting Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-18,18,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-19,19,Delcatty,80,Colorless,Skitty,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-20,20,Acro Bike,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-21,21,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-22,22,Machoke,90,Fighting,Machop,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-23,23,Rhyhorn,80,Fighting,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-24,24,Delcatty,80,Colorless,Skitty,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-25,25,Rhydon,100,Fighting,Rhyhorn,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-26,26,Solrock,80,Fighting,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-27,27,Skitty,50,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-28,28,Machop,70,Fighting,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-29,29,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
tk-xy-latio-30,30,Latios,110,Psychic,,Basic,None,Masakazu Fukuda,"normal, reverse, holo",XY trainer Kit (Latios),Trainer kits,30
