id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-n-1,1,Spoink,60,Psy,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-2,2,Banshitrouye,100,Psy,Pitrouille,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-3,3,Arbok,90,Psy,Abo,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-4,4,Sapereau,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-5,5,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-6,6,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-7,7,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-8,8,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-9,9,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-10,10,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-11,11,Pitrouille,60,Psy,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-12,12,Sonistrelle,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-13,13,Bruyverne,110,Dragon,Sonistrelle,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-14,14,Attrape-Pokémon,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-15,15,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-16,16,Abo,70,Psy,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-17,17,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-18,18,Pitrouille,60,Psy,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-19,19,Énergie Obscurité,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-20,20,Couafarel,90,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-21,21,Poké Ball,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-22,22,Énergie Obscurité,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-23,23,Sonistrelle,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-24,24,Lettre du Professeur,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-25,25,Énergie Psy,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-26,26,Énergie Obscurité,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-27,27,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-28,28,Énergie Obscurité,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-29,29,Échange,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
tk-xy-n-30,30,Bruyverne,110,Dragon,Sonistrelle,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",XY Kit du dresseur (Bruyverne),Kits du dresseur,30
