id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-p-1,1,Chaglam,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-2,2,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-3,3,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-4,4,Élekable,110,Électrique,Élektek,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-5,5,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-6,6,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-7,7,Nirondelle,50,Incolore,,De base,Sans Rareté,Atsuko Nishida,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-8,8,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-9,9,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-10,10,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-11,11,Dynavolt,60,Électrique,,De base,Sans Rareté,Akira Komayama,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-12,12,Zébibron,60,Électrique,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-13,13,Élecsprint,90,Électrique,Dynavolt,Niveau 1,Sans Rareté,match,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-14,14,Pikachu Catcheur,80,Électrique,,De base,Sans Rareté,Yoshinobu Saito,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-15,15,Élektek,70,Électrique,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-16,16,Passerouge,40,Incolore,,De base,Sans Rareté,Kanako Eo,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-17,17,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-18,18,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-19,19,Chaffreux,100,Incolore,Chaglam,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-20,20,Tierno,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-21,21,Potion,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-22,22,Élecsprint,90,Électrique,Dynavolt,Niveau 1,Sans Rareté,match,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-23,23,Élektek,70,Électrique,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-24,24,Chaffreux,100,Incolore,Chaglam,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-25,25,Élekable,110,Électrique,Élektek,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-26,26,Zébibron,60,Électrique,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-27,27,Chaglam,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-28,28,Dynavolt,60,Électrique,,De base,Sans Rareté,Akira Komayama,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-29,29,Énergie Électrique,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
tk-xy-p-30,30,Pikachu Catcheur,80,Électrique,,De base,Sans Rareté,Yoshinobu Saito,"normal, reverse, holo",XY Kit du dresseur (Pikachu Libre),Kits du dresseur,30
