id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-su-1,1,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-2,2,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-3,3,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-4,4,Eevee,60,Colorless,,Basic,None,Kouki Saitou,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-5,5,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-6,6,Frogadier,70,Water,Froakie,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-7,7,Ducklett,60,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-8,8,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-9,9,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-10,10,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-11,11,Froakie,50,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-12,12,Seaking,90,Water,Goldeen,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-13,13,Goldeen,60,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-14,14,Suicune,100,Water,,Basic,None,Yoshinobu Saito,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-15,15,Potion,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-16,16,Piplup,60,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-17,17,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-18,18,Swanna,80,Water,Ducklett,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-19,19,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-20,20,Tierno,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-21,21,Frogadier,70,Water,Froakie,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-22,22,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-23,23,Froakie,50,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-24,24,Ducklett,60,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-25,25,Seaking,90,Water,Goldeen,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-26,26,Goldeen,60,Water,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-27,27,Swanna,80,Water,Ducklett,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-28,28,Water Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-29,29,Tierno,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
tk-xy-su-30,30,Suicune,100,Water,,Basic,None,Yoshinobu Saito,"normal, reverse, holo",XY trainer Kit (Suicune),Trainer kits,30
