id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-su-1,1,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-2,2,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-3,3,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-4,4,Évoli,60,Incolore,,De base,Sans Rareté,Kouki Saitou,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-5,5,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-6,6,Croâporal,70,Eau,Grenousse,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-7,7,Couaneton,60,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-8,8,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-9,9,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-10,10,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-11,11,Grenousse,50,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-12,12,Poissoroy,90,Eau,Poissirène,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-13,13,Poissirène,60,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-14,14,Suicune,100,Eau,,De base,Sans Rareté,Yoshinobu Saito,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-15,15,Potion,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-16,16,Tiplouf,60,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-17,17,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-18,18,Lakmécygne,80,Eau,Couaneton,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-19,19,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-20,20,Tierno,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-21,21,Croâporal,70,Eau,Grenousse,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-22,22,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-23,23,Grenousse,50,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-24,24,Couaneton,60,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-25,25,Poissoroy,90,Eau,Poissirène,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-26,26,Poissirène,60,Eau,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-27,27,Lakmécygne,80,Eau,Couaneton,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-28,28,Énergie Eau,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-29,29,Tierno,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
tk-xy-su-30,30,Suicune,100,Eau,,De base,Sans Rareté,Yoshinobu Saito,"normal, reverse, holo",XY Kit du dresseur (Suicune),Kits du dresseur,30
