id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-sy-1,1,Passerouge,50,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-2,2,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-3,3,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-4,4,Échange,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-5,5,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-6,6,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-7,7,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-8,8,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-9,9,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-10,10,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-11,11,Snubbull,70,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-12,12,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-13,13,Évoli,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-14,14,Granbull,100,Fée,Snubbull,Niveau 1,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-15,15,Nymphali,90,Fée,Évoli,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-16,16,Couafarel,90,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-17,17,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-18,18,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-19,19,Passerouge,50,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-20,20,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-21,21,Évoli,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-22,22,Couafarel,90,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-23,23,Attrape-Pokémon,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-24,24,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-25,25,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-26,26,Poké Ball,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-27,27,Snubbull,70,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-28,28,Lettre du Professeur,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-29,29,Granbull,100,Fée,Snubbull,Niveau 1,Commune,,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
tk-xy-sy-30,30,Nymphali,90,Fée,Évoli,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",XY Kit du dresseur (Nymphali),Kits du dresseur,30
