id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-w-1,1,Swirlix,60,Fairy,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-2,2,Pidgeotto,80,Colorless,Pidgey,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-3,3,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-4,4,Sentret,50,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-5,5,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-6,6,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-7,7,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-8,8,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-9,9,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-10,10,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-11,11,Pidgey,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-12,12,Jigglypuff,60,Fairy,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-13,13,Clefairy,60,Fairy,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-14,14,Wigglytuff,100,Fairy,Jigglypuff,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-15,15,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-16,16,Clefable,90,Fairy,Clefairy,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-17,17,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-18,18,Swirlix,60,Fairy,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-19,19,Clefairy,60,Fairy,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-20,20,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-21,21,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-22,22,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-23,23,Pidgeotto,80,Colorless,Pidgey,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-24,24,Trevor,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-25,25,Jigglypuff,60,Fairy,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-26,26,Tierno,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-27,27,Fairy Energy,,Fairy,,,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-28,28,Clefable,90,Fairy,Clefairy,Stage1,Uncommon,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-29,29,Pidgey,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
tk-xy-w-30,30,Wigglytuff,100,Fairy,Jigglypuff,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Wigglytuff),Trainer kits,30
