id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy1-1,1,Florizarre EX,180,Plante,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",XY,XY,146
xy1-2,2,M Florizarre EX,230,Plante,Florizarre-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",XY,XY,146
xy1-3,3,Aspicot,50,Plante,,De base,Commune,Suwama Chiaki,"normal, reverse, holo",XY,XY,146
xy1-4,4,Coconfort,70,Plante,Aspicot,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse, holo",XY,XY,146
xy1-5,5,Dardargnan,120,Plante,Coconfort,Niveau 2,Rare,Shin Nagasawa,"normal, reverse, holo",XY,XY,146
xy1-6,6,Coxy,60,Plante,,De base,Commune,Mizue,"normal, reverse, holo",XY,XY,146
xy1-7,7,Coxyclaque,80,Plante,Coxy,Niveau 1,Peu Commune,Hitoshi Ariga,"normal, reverse, holo",XY,XY,146
xy1-8,8,Muciole,70,Plante,,De base,Peu Commune,Kanako Eo,"normal, reverse, holo",XY,XY,146
xy1-9,9,Lumivole,70,Plante,,De base,Peu Commune,Kanako Eo,"normal, reverse, holo",XY,XY,146
xy1-10,10,Feuillajou,60,Plante,,De base,Commune,Midori Harada,"normal, reverse, holo",XY,XY,146
xy1-11,11,Feuiloutan,90,Plante,Feuillajou,Niveau 1,Rare,Shigenori Negishi,"normal, reverse, holo",XY,XY,146
xy1-12,12,Marisson,60,Plante,,De base,Commune,5ban Graphics,"normal, reverse, holo",XY,XY,146
xy1-13,13,Boguérisse,90,Plante,Marisson,Niveau 1,Peu Commune,5ban Graphics,"normal, reverse, holo",XY,XY,146
xy1-14,14,Blindépique,160,Plante,Boguérisse,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",XY,XY,146
xy1-15,15,Lépidonille,40,Plante,,De base,Commune,5ban Graphics,"normal, reverse, holo",XY,XY,146
xy1-16,16,Pérégrain,80,Plante,Lépidonille,Niveau 1,Peu Commune,5ban Graphics,"normal, reverse, holo",XY,XY,146
xy1-17,17,Prismillon,130,Plante,Pérégrain,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",XY,XY,146
