id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sma-SV1,SV1,Insécateur,70,Plante,,De base,Commune,Shigenori Negishi,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV10,SV10,Maraiste,120,Eau,Axoloto,Niveau 1,Commune,Saya Tsuruta,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV11,SV11,Grenousse,50,Eau,,De base,Commune,sui,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV12,SV12,Croâporal,80,Eau,Grenousse,Niveau 1,Commune,Anesaki Dynamic,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV13,SV13,Voltorbe,50,Électrique,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV14,SV14,Câblifère,120,Électrique,,De base,Commune,Naoki Saito,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV15,SV15,Séviper,100,Psy,,De base,Commune,SATOSHI NAKAI,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV16,SV16,Polichombr,60,Psy,,De base,Commune,sui,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV17,SV17,Sepiatop,60,Psy,,De base,Commune,Shigenori Negishi,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV18,SV18,Sepiatroce,90,Psy,Sepiatop,Niveau 1,Commune,Hideki Ishikawa,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV19,SV19,Vémini,70,Psy,,De base,Commune,Akira Komayama,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV2,SV2,Brindibou,60,Plante,,De base,Commune,sui,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV20,SV20,Simularbre,100,Combat,,De base,Commune,Kyoko Umemoto,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV21,SV21,Riolu,70,Combat,,De base,Commune,Misa Tsutsui,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV22,SV22,Lucario,110,Combat,Riolu,Niveau 1,Commune,Kouki Saitou,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
sma-SV23,SV23,Rocabot,70,Combat,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Carte Alternative A Jaune,Soleil et Lune,94
