id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
cel25-1,1,Ho-Oh,130,Feu,,De base,Rare,Kouki Saitou,holo,Célébrations,Épée et Bouclier,25
cel25-2,2,Reshiram,130,Feu,,De base,Rare,Aya Kusube,holo,Célébrations,Épée et Bouclier,25
cel25-3,3,Kyogre,130,Eau,,De base,Rare,Ryuta Fuse,holo,Célébrations,Épée et Bouclier,25
cel25-4,4,Palkia,130,Eau,,De base,Rare,5ban Graphics,holo,Célébrations,Épée et Bouclier,25
cel25-5,5,Pikachu,60,Électrique,,De base,Holo Rare,Mitsuhiro Arita,holo,Célébrations,Épée et Bouclier,25
cel25-6,6,Pikachu Volant V,190,Électrique,,De base,Holo Rare V,aky CG Works,holo,Célébrations,Épée et Bouclier,25
cel25-7,7,Pikachu Volant VMAX,310,Électrique,Pikachu Volant-V,ESCOUADE,Holo Rare VMAX,aky CG Works,holo,Célébrations,Épée et Bouclier,25
cel25-8,8,Pikachu Surfeur V,200,Électrique,,De base,Holo Rare V,aky CG Works,holo,Célébrations,Épée et Bouclier,25
cel25-9,9,Pikachu Surfeur VMAX,310,Électrique,Pikachu Surfeur-V,ESCOUADE,Holo Rare VMAX,aky CG Works,holo,Célébrations,Épée et Bouclier,25
cel25-10,10,Zekrom,130,Électrique,,De base,Rare,Aya Kusube,holo,Célébrations,Épée et Bouclier,25
cel25-11,11,Mew,60,Psy,,De base,Holo Rare,Yuu Nishida,holo,Célébrations,Épée et Bouclier,25
cel25-12,12,Xerneas,120,Psy,,De base,Rare,AKIRA EGAWA,holo,Célébrations,Épée et Bouclier,25
cel25-13,13,Cosmog,60,Psy,,De base,Rare,kirisAki,holo,Célébrations,Épée et Bouclier,25
cel25-14,14,Cosmovum,90,Psy,Cosmog,Niveau 1,Rare,kirisAki,holo,Célébrations,Épée et Bouclier,25
cel25-15,15,Lunala,160,Psy,Cosmovum,Niveau 2,Holo Rare,kirisAki,holo,Célébrations,Épée et Bouclier,25
cel25-16,16,Zacian V,220,Psy,,De base,Holo Rare V,Mitsuhiro Arita,holo,Célébrations,Épée et Bouclier,25
cel25-17,17,Groudon,130,Combat,,De base,Rare,Ryuta Fuse,holo,Célébrations,Épée et Bouclier,25
cel25-18,18,Zamazenta V,220,Combat,,De base,Holo Rare V,Mitsuhiro Arita,holo,Célébrations,Épée et Bouclier,25
cel25-19,19,Yveltal,120,Obscurité,,De base,Rare,AKIRA EGAWA,holo,Célébrations,Épée et Bouclier,25
cel25-20,20,Dialga,130,Métal,,De base,Rare,5ban Graphics,holo,Célébrations,Épée et Bouclier,25
cel25-21,21,Solgaleo,170,Métal,Cosmovum,Niveau 2,Holo Rare,kirisAki,holo,Célébrations,Épée et Bouclier,25
cel25-22,22,Lugia,130,Incolore,,De base,Rare,Kouki Saitou,holo,Célébrations,Épée et Bouclier,25
cel25-23,23,Recherches Professorales (Professeur Chen),,,,,Holo Rare,KIYOTAKA OSHIYAMA,holo,Célébrations,Épée et Bouclier,25
cel25-24,24,Recherches Professorales (Professeur Chen),,,,,Ultra Rare,Ken Sugimori,holo,Célébrations,Épée et Bouclier,25
cel25-25,25,Mew,60,Psy,,De base,Magnifique rare,Saki Hayashiro,holo,Célébrations,Épée et Bouclier,25
