id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A3-001,001,Exeggcute,60,Grass,,Basic,One Diamond,HYOGONOSUKE,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-002,002,Alolan Exeggutor,150,Grass,Exeggcute,Stage1,Three Diamond,Anesaki Dynamic,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-003,003,Surskit,50,Grass,,Basic,One Diamond,Miki Tanaka,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-004,004,Masquerain,90,Grass,Surskit,Stage1,Two Diamond,Kanako Eo,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-005,005,Maractus,90,Grass,,Basic,One Diamond,Kagemaru Himeno,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-006,006,Karrablast,60,Grass,,Basic,One Diamond,OOYAMA,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-007,007,Phantump,60,Grass,,Basic,One Diamond,miki kudo,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-008,008,Trevenant,130,Grass,Phantump,Stage1,Two Diamond,Shin Nagasawa,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-009,009,Rowlet,60,Grass,,Basic,One Diamond,Megumi Mizutani,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-010,010,Rowlet,60,Grass,,Basic,One Diamond,Saya Tsuruta,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-011,011,Dartrix,80,Grass,Rowlet,Stage1,Two Diamond,Mizue,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-012,012,Decidueye ex,170,Grass,Dartrix,Stage2,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-013,013,Grubbin,60,Grass,,Basic,One Diamond,Yuka Morii,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-014,014,Fomantis,60,Grass,,Basic,One Diamond,Kagemaru Himeno,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-015,015,Lurantis,90,Grass,Fomantis,Stage1,Two Diamond,AKIRA EGAWA,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-016,016,Morelull,60,Grass,,Basic,One Diamond,You Iribi,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-017,017,Shiinotic,100,Grass,Morelull,Stage1,Two Diamond,Suwama Chiaki,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-018,018,Bounsweet,50,Grass,,Basic,One Diamond,Akira Komayama,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
A3-019,019,Steenee,80,Grass,Bounsweet,Stage1,Two Diamond,Mizue,"normal, reverse, holo",Celestial Guardians,Pokémon TCG Pocket,239
