id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm7-1,1,Bellsprout,60,Grass,,Basic,Common,Masako Yamashita,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-2,2,Weepinbell,80,Grass,Bellsprout,Stage1,Uncommon,Miki Tanaka,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-3,3,Victreebel,140,Grass,Weepinbell,Stage2,Rare,Miki Tanaka,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-4,4,Scyther,70,Grass,,Basic,Uncommon,Hajime Kusajima,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-5,5,Spinarak,50,Grass,,Basic,Common,Sachiko Adachi,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-6,6,Ariados,70,Grass,Spinarak,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-7,7,Treecko,50,Grass,,Basic,Common,Sekio,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-8,8,Treecko,70,Grass,,Basic,Common,tetsuya koizumi,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-9,9,Grovyle,80,Grass,Treecko,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-10,10,Sceptile,140,Grass,Grovyle,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-11,11,Seedot,40,Grass,,Basic,Common,miki kudo,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-12,12,Seedot,60,Grass,,Basic,Common,Misa Tsutsui,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-13,13,Nuzleaf,90,Grass,Seedot,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-14,14,Shiftry GX,240,Grass,Nuzleaf,,Ultra Rare,PLANETA Igarashi,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-15,15,Surskit,50,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-16,16,Masquerain,90,Grass,Surskit,Stage1,Uncommon,Yukiko Baba,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-17,17,Volbeat,70,Grass,,Basic,Uncommon,Saya Tsuruta,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-18,18,Illumise,70,Grass,,Basic,Uncommon,Saya Tsuruta,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-19,19,Cacnea,60,Grass,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-20,20,Cacturne,110,Grass,Cacnea,Stage1,Uncommon,Atsuko Nishida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-21,21,Tropius,110,Grass,,Basic,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-22,22,Dhelmise,130,Grass,,Basic,Rare,Kyoko Umemoto,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-23,23,Slugma,70,Fire,,Basic,Common,Midori Harada,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-24,24,Magcargo,90,Fire,Slugma,Stage1,Rare,Midori Harada,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-25,25,Torchic,50,Fire,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-26,26,Torchic,70,Fire,,Basic,Common,MAHOU,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-27,27,Combusken,80,Fire,Torchic,Stage1,Uncommon,Mizue,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-28,28,Blaziken GX,240,Fire,Combusken,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-29,29,Torkoal,120,Fire,,Basic,Uncommon,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-30,30,Oricorio,90,Fire,,Basic,Uncommon,Naoyo Kimura,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-31,31,Articuno GX,170,Water,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-32,32,Mudkip,60,Water,,Basic,Common,Shigenori Negishi,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-33,33,Mudkip,70,Water,,Basic,Common,Misa Tsutsui,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-34,34,Marshtomp,90,Water,Mudkip,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-35,35,Swampert,160,Water,Marshtomp,Stage2,Rare,SATOSHI NAKAI,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-36,36,Lotad,60,Water,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-37,37,Lombre,80,Water,Lotad,Stage1,Uncommon,Atsuko Nishida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-38,38,Ludicolo,140,Water,Lombre,Stage2,Rare,Atsuko Nishida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-39,39,Wailmer,120,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-40,40,Wailord,220,Water,Wailmer,Stage1,Rare,Anesaki Dynamic,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-41,41,Clamperl,50,Water,,Basic,Common,sui,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-42,42,Huntail,110,Water,Clamperl,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-43,43,Gorebyss,90,Water,Clamperl,Stage1,Uncommon,Mizue,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-44,44,Luvdisc,70,Water,,Basic,Common,Asako Ito,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-45,45,Regice,120,Water,,Basic,Rare,kodama,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-46,46,Kyogre,130,Water,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-47,47,Voltorb,50,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-48,48,Electrode GX,190,Lightning,Voltorb,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-49,49,Chinchou,60,Lightning,,Basic,Common,Aya Kusube,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-50,50,Lanturn,110,Lightning,Chinchou,Stage1,Uncommon,Aya Kusube,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-51,51,Electrike,50,Lightning,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-52,52,Manectric,110,Lightning,Electrike,Stage1,Rare,Sanosuke Sakuma,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-53,53,Plusle,70,Lightning,,Basic,Uncommon,Kanako Eo,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-54,54,Minun,70,Lightning,,Basic,Uncommon,Sumiyoshi Kizuki,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-55,55,Oricorio,90,Lightning,,Basic,Uncommon,Sekio,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-56,56,Mr. Mime GX,150,Psychic,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-57,57,Gulpin,60,Psychic,,Basic,Common,Yuka Morii,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-58,58,Swalot,120,Psychic,Gulpin,Stage1,Uncommon,Yuka Morii,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-59,59,Spoink,60,Psychic,,Basic,Common,MAHOU,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-60,60,Grumpig,120,Psychic,Spoink,Stage1,Rare,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-61,61,Lunatone,80,Psychic,,Basic,Rare,Hisao Nakamura,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-62,62,Solrock,90,Psychic,,Basic,Uncommon,Kyoko Umemoto,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-63,63,Shuppet,60,Psychic,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-64,64,Shuppet,50,Psychic,,Basic,Common,Eri Yamaki,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-65,65,Banette,90,Psychic,Shuppet,Stage1,Rare,Eri Yamaki,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-66,66,Banette GX,190,Psychic,Shuppet,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-67,67,Deoxys,120,Psychic,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-68,68,Deoxys,130,Psychic,,Basic,Rare,Ayaka Yoshida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-69,69,Deoxys,100,Psychic,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-70,70,Lunala,160,Psychic,Cosmoem,Stage2,Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-71,71,Onix,100,Fighting,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-72,72,Phanpy,70,Fighting,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-73,73,Donphan,130,Fighting,Phanpy,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-74,74,Larvitar,60,Fighting,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-75,75,Pupitar,80,Fighting,Larvitar,Stage1,Uncommon,Hironobu Yoshida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-76,76,Meditite,70,Fighting,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-77,77,Medicham,90,Fighting,Meditite,Stage1,Rare,Misa Tsutsui,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-78,78,Baltoy,60,Fighting,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-79,79,Claydol,110,Fighting,Baltoy,Stage1,Rare,Yumi,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-80,80,Regirock,120,Fighting,,Basic,Rare,Ayaka Yoshida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-81,81,Groudon,130,Fighting,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-82,82,Palossand GX,210,Fighting,Sandygast,Stage1,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-83,83,Minior,90,Fighting,,Basic,Uncommon,sui,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-84,84,Alolan Rattata,40,Darkness,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-85,85,Alolan Raticate GX,200,Darkness,Alolan Rattata,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-86,86,Sneasel,60,Darkness,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-87,87,Tyranitar,170,Darkness,Pupitar,Stage2,Rare,Hironobu Yoshida,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
sm7-88,88,Sableye,70,Darkness,,Basic,Uncommon,Yukiko Baba,"normal, reverse, holo",Celestial Storm,Sun & Moon,183
