id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex14-1,1,Branette,70,Psy,,Niveau 1,Rare,Kyoko Umemoto,holo,EX Gardiens de Cristal,EX,100
ex14-2,2,Tortank δ,110,"Combat, Métal",,Niveau 2,Rare,Masakazu Fukuda,holo,EX Gardiens de Cristal,EX,100
ex14-3,3,Camerupt,80,Feu,,Niveau 1,Rare,Mitsuhiro Arita,holo,EX Gardiens de Cristal,EX,100
ex14-4,4,Dracaufeu δ,120,"Électrique, Métal",,Niveau 2,Rare,Kouki Saitou,holo,EX Gardiens de Cristal,EX,100
ex14-5,5,Triopikeur,70,Combat,,Niveau 1,Rare,Tomokazu Komiya,"normal, holo",EX Gardiens de Cristal,EX,100
ex14-6,6,Ludicolo δ,100,Feu,,Niveau 2,Rare,Masakazu Fukuda,holo,EX Gardiens de Cristal,EX,100
ex14-7,7,Lovdisc,60,Eau,,De base,Rare,Kyoko Umemoto,holo,EX Gardiens de Cristal,EX,100
ex14-8,8,Elecsprint,80,Électrique,,Niveau 1,Rare,Hisao Nakamura,holo,EX Gardiens de Cristal,EX,100
ex14-9,9,Mysdibule,60,Métal,,De base,Rare,Kagemaru Himeno,holo,EX Gardiens de Cristal,EX,100
ex14-10,10,Tenefix,60,Obscurité,,De base,Rare,Yukiko Baba,holo,EX Gardiens de Cristal,EX,100
ex14-11,11,Avaltout,80,Plante,,Niveau 1,Rare,Mitsuhiro Arita,holo,EX Gardiens de Cristal,EX,100
ex14-12,12,Tauros,70,Incolore,,De base,Rare,Hajime Kusajima,holo,EX Gardiens de Cristal,EX,100
ex14-13,13,Grodoudou,90,Incolore,,Niveau 1,Rare,Mitsuhiro Arita,holo,EX Gardiens de Cristal,EX,100
ex14-14,14,Tortank,120,Eau,,Niveau 2,Rare,Kouki Saitou,"normal, holo",EX Gardiens de Cristal,EX,100
ex14-15,15,Cacturne δ,80,Combat,,Niveau 1,Rare,Kouki Saitou,normal,EX Gardiens de Cristal,EX,100
