id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-dp-l-1,1,Geodude,60,Fighting,,,None,Ken Sudimori,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-2,2,Graveler,90,Fighting,Geodude,Stage1,None,Mitsuhiro Arita,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-3,3,Lucario,90,Fighting,Riolu,Stage1,None,Kent Kanetsuna,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-4,4,Machoke,90,Fighting,Machop,Stage1,None,Kouki Saitou,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-5,5,Machop,60,Fighting,,Basic,None,Atsuko Nishida,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-6,6,Riolu,60,Fighting,,Basic,None,Ken Sugimori,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-7,7,Starly,50,Colorless,,Basic,None,Ken Sugimori,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-8,8,Energy Search,,,,,None,Kai Ishikawa,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-9,9,Potion,,,,,None,Shin-ichi Yoshikawa,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-10,10,Quick Ball,,,,,None,Ryo Ueda,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
tk-dp-l-11,11,Fighting Energy,,,,Basic,None,,"normal, reverse, holo",DP trainer Kit (Lucario),Trainer kits,11
