id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw5-1,1,Bisasam,60,Pflanze,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-2,2,Bisaknosp,90,Pflanze,,Rang 1,Ungewöhnlich,sui,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-3,3,Bisaflor,140,Pflanze,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-4,4,Sichlor,80,Pflanze,,Basis,Ungewöhnlich,Naoki Saito,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-5,5,Venuflibis,90,Pflanze,,Basis,Selten,Yukiko Baba,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-6,6,Folipurba,90,Pflanze,,Rang 1,Selten,Ryo Ueda,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-7,7,Lithomith,60,Pflanze,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-8,8,Castellith,110,Pflanze,,Rang 1,Ungewöhnlich,Ryo Ueda,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-9,9,Laukaps,60,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-10,10,Schnuthelm,60,Pflanze,,Basis,Häufig,Shigenori Negishi,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-11,11,Hydragil,90,Pflanze,,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-12,12,Flamara,90,Feuer,,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-13,13,Entei-EX,180,Feuer,,,Selten,Shizurow,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-14,14,Flemmli,50,Feuer,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-15,15,Flemmli,60,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-16,16,Jungglut,80,Feuer,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-17,17,Lohgock,140,Feuer,,Rang 2,Selten,TOKIYA,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-18,18,Qurtel,90,Feuer,,Basis,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-19,19,Furnifraß,90,Feuer,,Basis,Selten,Mitsuhiro Arita,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-20,20,Ignivor,80,Feuer,,Basis,Häufig,match,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-21,21,Ignivor,60,Feuer,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-22,22,Ramoth,110,Feuer,,Rang 1,Selten,Shin Nagasawa,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-23,23,Flegmon,70,Wasser,,Basis,Häufig,MAHOU,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-24,24,Lahmus,100,Wasser,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-25,25,Aquana,110,Wasser,,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-26,26,Kyogre-EX,170,Wasser,,,Selten,Shizurow,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-27,27,Plinfa,60,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-28,28,Pliprin,80,Wasser,,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-29,29,Impoleon,140,Wasser,,Rang 2,Selten,Naoki Saito,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-30,30,Glaziola,90,Wasser,,Rang 1,Selten,Ryo Ueda,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-31,31,Schallquap,60,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-32,32,Mebrana,80,Wasser,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-33,33,Gelatini,50,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-34,34,Gelatroppo,70,Wasser,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-35,35,Piccolente,60,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-36,36,Swaroness,90,Wasser,,Rang 1,Selten,Mizue,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-37,37,Blitza,90,Elektro,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-38,38,Raikou-EX,170,Elektro,,,Selten,Shizurow,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-39,39,Plusle,60,Elektro,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-40,40,Minun,60,Elektro,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-41,41,Wattzapf,30,Elektro,,Basis,Häufig,MAHOU,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-42,42,Wattzapf,30,Elektro,,Basis,Häufig,Miki Tanaka,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-43,43,Voltula,80,Elektro,,Rang 1,Selten,Akira Komayama,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-44,44,Zapplardin,40,Elektro,,Basis,Häufig,Midori Harada,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-45,45,Zapplardin,40,Elektro,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-46,46,Zapplalek,90,Elektro,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
bw5-47,47,Zapplarang,140,Elektro,,Rang 2,Selten,kawayoo,"normal, reverse, holo",Erfoscher der Finsternis,Schwarz & Weiß,111
