id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex11-1,1,Beedrill δ,90,"Grass, Metal",Kakuna,Stage2,Rare,Masakazu Fukuda,holo,Delta Species,EX,114
ex11-2,2,Crobat δ,90,"Grass, Metal",Golbat,Stage2,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-3,3,Dragonite δ,100,"Lightning, Metal",Dragonair,Stage2,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-4,4,Espeon δ,70,"Psychic, Metal",Eevee,Stage1,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-5,5,Flareon δ,70,"Fire, Metal",Eevee,Stage1,Rare,Kouki Saitou,holo,Delta Species,EX,114
ex11-6,6,Gardevoir δ,100,"Psychic, Metal",Kirlia,Stage2,Rare,Mitsuhiro Arita,holo,Delta Species,EX,114
ex11-7,7,Jolteon δ,70,"Lightning, Metal",Eevee,Stage1,Rare,Kouki Saitou,holo,Delta Species,EX,114
ex11-8,8,Latias δ,70,"Lightning, Metal",,Basic,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-9,9,Latios δ,80,"Lightning, Metal",,Basic,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-10,10,Marowak δ,80,"Fighting, Metal",Cubone,Stage1,Rare,Hajime Kusajima,holo,Delta Species,EX,114
ex11-11,11,Metagross δ,100,"Lightning, Metal",Metang,Stage2,Rare,Masakazu Fukuda,holo,Delta Species,EX,114
ex11-12,12,Mewtwo δ,70,"Fire, Metal",,Basic,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-13,13,Rayquaza δ,90,"Lightning, Metal",,Basic,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-14,14,Salamence δ,110,"Fire, Metal",Shelgon,Stage2,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-15,15,Starmie δ,60,"Water, Metal",Staryu,Stage1,Rare,Masakazu Fukuda,holo,Delta Species,EX,114
ex11-16,16,Tyranitar δ,120,"Fire, Metal",Pupitar,Stage2,Rare,Mitsuhiro Arita,holo,Delta Species,EX,114
ex11-17,17,Umbreon δ,70,"Darkness, Metal",Eevee,Stage1,Rare,Ryo Ueda,holo,Delta Species,EX,114
ex11-18,18,Vaporeon δ,70,"Water, Metal",Eevee,Stage1,Rare,Kouki Saitou,holo,Delta Species,EX,114
ex11-19,19,Azumarill δ,80,"Water, Metal",Marill,Stage1,Rare,Atsuko Nishida,normal,Delta Species,EX,114
ex11-20,20,Azurill,50,Colorless,,Basic,Rare,Midori Harada,normal,Delta Species,EX,114
ex11-21,21,Holon's Electrode,70,Lightning,Holon's Voltorb,Stage1,Rare,Hisao Nakamura,normal,Delta Species,EX,114
ex11-22,22,Holon's Magneton,70,Metal,Holon's Magnemite,Stage1,Rare,Katsura Tabata,normal,Delta Species,EX,114
ex11-23,23,Hypno,70,Psychic,Drowzee,Stage1,Rare,Midori Harada,normal,Delta Species,EX,114
ex11-24,24,Mightyena δ,70,"Darkness, Metal",Poochyena,Stage1,Rare,Hajime Kusajima,normal,Delta Species,EX,114
ex11-25,25,Porygon2,70,Colorless,Porygon,Stage1,Rare,Hisao Nakamura,normal,Delta Species,EX,114
ex11-26,26,Rain Castform,70,Water,,Basic,Rare,Miki Tanaka,normal,Delta Species,EX,114
ex11-27,27,Sandslash δ,80,"Fighting, Metal",Sandshrew,Stage1,Rare,Mitsuhiro Arita,normal,Delta Species,EX,114
