id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex11-1,1,Dardargnan δ,90,"Plante, Métal",,Niveau 2,Rare,Masakazu Fukuda,holo,EX Espèces Delta,EX,114
ex11-2,2,Nostenfer δ,90,"Plante, Métal",,Niveau 2,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-3,3,Dracolosse δ,100,"Électrique, Métal",,Niveau 2,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-4,4,Mentali δ,70,"Psy, Métal",,Niveau 1,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-5,5,Pyroli δ,70,"Feu, Métal",,Niveau 1,Rare,Kouki Saitou,holo,EX Espèces Delta,EX,114
ex11-6,6,Gardevoir δ,100,"Psy, Métal",,Niveau 2,Rare,Mitsuhiro Arita,holo,EX Espèces Delta,EX,114
ex11-7,7,Voltali δ,70,"Électrique, Métal",,Niveau 1,Rare,Kouki Saitou,holo,EX Espèces Delta,EX,114
ex11-8,8,Latias δ,70,"Électrique, Métal",,De base,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-9,9,Latios δ,80,"Électrique, Métal",,De base,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-10,10,Ossatueur δ,80,"Combat, Métal",,Niveau 1,Rare,Hajime Kusajima,holo,EX Espèces Delta,EX,114
ex11-11,11,Metalosse δ,100,"Électrique, Métal",,Niveau 2,Rare,Masakazu Fukuda,holo,EX Espèces Delta,EX,114
ex11-12,12,Mewtwo δ,70,"Feu, Métal",,De base,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-13,13,Rayquaza δ,90,"Électrique, Métal",,De base,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-14,14,Drattak δ,110,"Feu, Métal",,Niveau 2,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-15,15,Staross δ,60,"Eau, Métal",,Niveau 1,Rare,Masakazu Fukuda,holo,EX Espèces Delta,EX,114
ex11-16,16,Tyranocif δ,120,"Feu, Métal",,Niveau 2,Rare,Mitsuhiro Arita,holo,EX Espèces Delta,EX,114
ex11-17,17,Noctali δ,70,"Obscurité, Métal",,Niveau 1,Rare,Ryo Ueda,holo,EX Espèces Delta,EX,114
ex11-18,18,Aquali δ,70,"Eau, Métal",,Niveau 1,Rare,Kouki Saitou,holo,EX Espèces Delta,EX,114
ex11-19,19,Azumarill δ,80,"Eau, Métal",,Niveau 1,Rare,Atsuko Nishida,normal,EX Espèces Delta,EX,114
ex11-20,20,Azurill,50,Incolore,,De base,Rare,Midori Harada,normal,EX Espèces Delta,EX,114
ex11-21,21,Electrode d'Holon,70,Électrique,,Niveau 1,Rare,Hisao Nakamura,normal,EX Espèces Delta,EX,114
ex11-22,22,Magneton d'Holon,70,Métal,,Niveau 1,Rare,Katsura Tabata,normal,EX Espèces Delta,EX,114
ex11-23,23,Hypnomade,70,Psy,,Niveau 1,Rare,Midori Harada,normal,EX Espèces Delta,EX,114
ex11-24,24,Grahyena δ,70,"Obscurité, Métal",,Niveau 1,Rare,Hajime Kusajima,normal,EX Espèces Delta,EX,114
ex11-25,25,Porygon2,70,Incolore,,Niveau 1,Rare,Hisao Nakamura,normal,EX Espèces Delta,EX,114
ex11-26,26,Morpheo Pluie,70,Eau,,De base,Rare,Miki Tanaka,normal,EX Espèces Delta,EX,114
ex11-27,27,Sablaireau δ,80,"Combat, Métal",,Niveau 1,Rare,Mitsuhiro Arita,normal,EX Espèces Delta,EX,114
ex11-28,28,Roigada,80,Eau,,Niveau 1,Rare,Kagemaru Himeno,normal,EX Espèces Delta,EX,114
ex11-29,29,Morpheo Neige,70,Eau,,De base,Rare,Miki Tanaka,normal,EX Espèces Delta,EX,114
