id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv10-001,001,Klarins Pinsir,120,Pflanze,,Basis,Ungewöhnlich,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-002,002,Yanma,70,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-003,003,Yanmega-ex,280,Pflanze,Yanma,Rang 1,Doppelselten,,holo,Ewige Rivalen,Karmesin & Purpur,244
sv10-004,004,Tannza,70,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-005,005,Knilz,60,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-006,006,Kapilz,120,Pflanze,Knilz,Rang 1,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-007,007,Cynthias Roselia,70,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-008,008,Cynthias Roserade,130,Pflanze,Cynthias Roselia,Rang 1,Selten,,"reverse, holo",Ewige Rivalen,Karmesin & Purpur,244
sv10-009,009,Schneid-Rotom,70,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-010,010,Shaymin,80,Pflanze,,Basis,Ungewöhnlich,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-011,011,Lithomith,70,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-012,012,Castellith,150,Pflanze,Lithomith,Rang 1,Selten,,"reverse, holo",Ewige Rivalen,Karmesin & Purpur,244
sv10-013,013,Imantis,60,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-014,014,Mantidea,120,Pflanze,Imantis,Rang 1,Ungewöhnlich,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-015,015,Team Rockets Sensect,60,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-016,016,Knapfel,40,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-017,017,Sirapfel,90,Pflanze,Knapfel,Rang 1,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-018,018,Hydrapfel,170,Pflanze,Sirapfel,Rang 2,Selten,,"reverse, holo",Ewige Rivalen,Karmesin & Purpur,244
sv10-019,019,Team Rockets Tarundel,50,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-020,020,Team Rockets Spinsidias,130,Pflanze,Team Rockets Tarundel,Rang 1,Selten,,"reverse, holo",Ewige Rivalen,Karmesin & Purpur,244
sv10-021,021,Olini,60,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-022,022,Olivinio,90,Pflanze,Olini,Rang 1,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-023,023,Olithena-ex,310,Pflanze,Olivinio,Rang 2,Doppelselten,,holo,Ewige Rivalen,Karmesin & Purpur,244
sv10-024,024,Relluk,40,Pflanze,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-025,025,Skarabaks-ex,250,Pflanze,Relluk,Rang 1,Doppelselten,,holo,Ewige Rivalen,Karmesin & Purpur,244
sv10-026,026,Türkisgrüne-Maske-Ogerpon,110,Pflanze,,Basis,Ungewöhnlich,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-027,027,Fukano,80,Feuer,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-028,028,Arkani,140,Feuer,Fukano,Rang 1,Ungewöhnlich,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-029,029,Ponita,70,Feuer,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-030,030,Gallopa,110,Feuer,Ponita,Rang 1,Ungewöhnlich,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
sv10-031,031,Team Rockets Lavados-ex,220,Feuer,,Basis,Doppelselten,,holo,Ewige Rivalen,Karmesin & Purpur,244
sv10-032,032,Klarins Feurigel,70,Feuer,,Basis,Häufig,,"normal, reverse",Ewige Rivalen,Karmesin & Purpur,244
