id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm7.5-1,1,Charmander,70,Fire,,Basic,Common,tetsuya koizumi,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-2,2,Charmeleon,80,Fire,Charmander,Stage1,Uncommon,kodama,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-3,3,Charizard,160,Fire,Charmeleon,Stage2,Rare,Ryota Murayama,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-4,4,Torchic,60,Fire,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-5,5,Combusken,80,Fire,Torchic,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-6,6,Blaziken,150,Fire,Combusken,Stage2,Rare,Kouki Saitou,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-7,7,Victini ◇,90,Fire,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-8,8,Darumaka,70,Fire,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-9,9,Darmanitan,130,Fire,Darumaka,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-10,10,Heatmor,110,Fire,,Basic,Uncommon,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-11,11,Reshiram GX,180,Fire,,,Ultra Rare,PLANETA Otani,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-12,12,Litten,60,Fire,,Basic,Common,Ryota Murayama,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-13,13,Salandit,60,Fire,,Basic,Common,MAHOU,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-14,14,Salazzle,110,Fire,Salandit,Stage1,Uncommon,Naoki Saito,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-15,15,Horsea,40,Water,,Basic,Common,Yukiko Baba,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-16,16,Horsea,50,Water,,Basic,Common,Mizue,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-17,17,Seadra,90,Water,Horsea,Stage1,Uncommon,Yumi,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-18,18,Kingdra GX,230,Water,Seadra,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-19,19,Magikarp,30,Water,,Basic,Common,Sekio,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-20,20,Gyarados,160,Water,Magikarp,Stage1,Rare,kawayoo,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-21,21,Lapras,120,Water,,Basic,Uncommon,Saya Tsuruta,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-22,22,Totodile,60,Water,,Basic,Common,Hironobu Yoshida,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-23,23,Croconaw,90,Water,Totodile,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-24,24,Feraligatr,160,Water,Croconaw,Stage2,Rare,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-25,25,Wooper,70,Water,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-26,26,Quagsire,120,Water,Wooper,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-27,27,Corsola,90,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-28,28,Feebas,30,Water,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-29,29,Milotic,120,Water,Feebas,Stage1,Uncommon,hatachu,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-30,30,Phione,70,Water,,Basic,Uncommon,kawayoo,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-31,31,Wishiwashi,30,Water,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-32,32,Trapinch,60,Fighting,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-33,33,Hydreigon,160,Darkness,Zweilous,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-34,34,Dratini,60,Dragon,,Basic,Common,Ayaka Yoshida,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-35,35,Dratini,70,Dragon,,Basic,Common,Anesaki Dynamic,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-36,36,Dragonair,100,Dragon,Dratini,Stage1,Uncommon,sui,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-37,37,Dragonite GX,250,Dragon,Dragonair,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-38,38,Vibrava,80,Dragon,Trapinch,Stage1,Common,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-39,39,Flygon,140,Dragon,Vibrava,Stage2,Uncommon,Shigenori Negishi,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-40,40,Altaria,80,Dragon,Swablu,Stage1,Rare,Kyoko Umemoto,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-41,41,Altaria GX,200,Dragon,Swablu,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-42,42,Bagon,60,Dragon,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-43,43,Shelgon,80,Dragon,Bagon,Stage1,Uncommon,Yuka Morii,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-44,44,Salamence GX,250,Dragon,Shelgon,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-45,45,Druddigon,110,Dragon,,Basic,Uncommon,Mitsuhiro Arita,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-46,46,Zekrom,130,Dragon,,Basic,Rare,Hasuno,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-47,47,Kyurem,130,Dragon,,Basic,Rare,TOKIYA,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-48,48,White Kyurem GX,190,Dragon,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-49,49,Zygarde,130,Dragon,,Basic,Uncommon,Misa Tsutsui,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-50,50,Turtonator,110,Dragon,,Basic,Uncommon,Sumiyoshi Kizuki,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-51,51,Drampa,120,Dragon,,Basic,Uncommon,Sanosuke Sakuma,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-52,52,Jangmo-o,60,Dragon,,Basic,Common,Yusuke Ohmura,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-53,53,Hakamo-o,90,Dragon,Jangmo-o,Stage1,Common,hatachu,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-54,54,Kommo-o,160,Dragon,Hakamo-o,Stage2,Rare,so-taro,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-55,55,Kangaskhan,120,Colorless,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-56,56,Swablu,50,Colorless,,Basic,Common,Yukiko Baba,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-57,57,Swablu,50,Colorless,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-58,58,Blaine’s Last Stand,,,,,Rare,Ken Sugimori,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-59,59,Dragon Talon,,,,,Uncommon,Toyste Beach,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-60,60,Fiery Flint,,,,,Uncommon,Eske Yoshinob,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-61,61,Lance ◇,,,,,Rare,kodama,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-62,62,Switch Raft,,,,,Uncommon,Yoshinobu Saito,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-63,63,Wela Volcano Park,,,,,Uncommon,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-64,64,Zinnia,,,,,Uncommon,Megumi Mizutani,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-65,65,Reshiram GX,180,Fire,,,Ultra Rare,PLANETA Igarashi,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-66,66,Kingdra GX,230,Water,Seadra,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-67,67,Dragonite GX,250,Dragon,Dragonair,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-68,68,Altaria GX,200,Dragon,Swablu,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-69,69,Blaine’s Last Stand,,,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-70,70,Zinnia,,,,,Ultra Rare,Hideki Ishikawa,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-71,71,Reshiram GX,180,Fire,,,Secret Rare,PLANETA Igarashi,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-72,72,Altaria GX,200,Dragon,Swablu,,Secret Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-73,73,Salamence GX,250,Dragon,Shelgon,,Secret Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-74,74,White Kyurem GX,190,Dragon,,,Secret Rare,5ban Graphics,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-75,75,Dragon Talon,,,,,Secret Rare,Toyste Beach,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-76,76,Fiery Flint,,,,,Secret Rare,Eske Yoshinob,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-77,77,Switch Raft,,,,,Secret Rare,Yoshinobu Saito,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
sm7.5-78,78,Ultra Necrozma GX,190,Dragon,,,Secret Rare,PLANETA Igarashi,"normal, reverse, holo",Dragon Majesty,Sun & Moon,78
