id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex9-1,1,Blaziken,110,Fire,Combusken,Stage2,Rare,Midori Harada,"normal, holo",Emerald,EX,107
ex9-2,2,Deoxys,70,Psychic,,Basic,Rare,Hironobu Yoshida,holo,Emerald,EX,107
ex9-3,3,Exploud,120,Colorless,Loudred,Stage2,Rare,Hajime Kusajima,holo,Emerald,EX,107
ex9-4,4,Gardevoir,100,Psychic,Kirlia,Stage2,Rare,Kagemaru Himeno,holo,Emerald,EX,107
ex9-5,5,Groudon,80,Fighting,,Basic,Rare,Kouki Saitou,holo,Emerald,EX,107
ex9-6,6,Kyogre,80,Water,,Basic,Rare,Masakazu Fukuda,holo,Emerald,EX,107
ex9-7,7,Manectric,80,Lightning,Electrike,Stage1,Rare,Masakazu Fukuda,"normal, holo",Emerald,EX,107
ex9-8,8,Milotic,90,Water,Feebas,Stage1,Rare,Kagemaru Himeno,holo,Emerald,EX,107
ex9-9,9,Rayquaza,80,Colorless,,Basic,Rare,Kouki Saitou,holo,Emerald,EX,107
ex9-10,10,Sceptile,100,Grass,Grovyle,Stage2,Rare,Mitsuhiro Arita,"normal, holo",Emerald,EX,107
ex9-11,11,Swampert,110,Water,Marshtomp,Stage2,Rare,Atsuko Nishida,"normal, holo",Emerald,EX,107
ex9-12,12,Chimecho,70,Psychic,,Basic,Rare,Kagemaru Himeno,"normal, holo",Emerald,EX,107
ex9-13,13,Glalie,80,Water,Snorunt,Stage1,Rare,Atsuko Nishida,"normal, holo",Emerald,EX,107
ex9-14,14,Groudon,80,Fighting,,Basic,Rare,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-15,15,Kyogre,80,Water,,Basic,Rare,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-16,16,Manectric,70,Lightning,Electrike,Stage1,Rare,Kagemaru Himeno,"normal, holo",Emerald,EX,107
ex9-17,17,Nosepass,70,Fighting,,Basic,Rare,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-18,18,Relicanth,70,Water,,Basic,Rare,Atsuko Nishida,"normal, holo",Emerald,EX,107
ex9-19,19,Rhydon,90,Fighting,Rhyhorn,Stage1,Rare,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-20,20,Seviper,80,Grass,,Basic,Rare,Mitsuhiro Arita,"normal, holo",Emerald,EX,107
ex9-21,21,Zangoose,70,Colorless,,Basic,Rare,Midori Harada,"normal, holo",Emerald,EX,107
ex9-22,22,Breloom,80,Grass,Shroomish,Stage1,Uncommon,Mitsuhiro Arita,"normal, holo",Emerald,EX,107
ex9-23,23,Camerupt,80,Fire,Numel,Stage1,Uncommon,Masakazu Fukuda,"normal, holo",Emerald,EX,107
ex9-24,24,Claydol,80,Fighting,Baltoy,Stage1,Uncommon,Yuka Morii,"normal, holo",Emerald,EX,107
ex9-25,25,Combusken,70,Fire,Torchic,Stage1,Uncommon,Midori Harada,"normal, holo",Emerald,EX,107
ex9-26,26,Dodrio,70,Colorless,Doduo,Stage1,Uncommon,Hajime Kusajima,"normal, holo",Emerald,EX,107
ex9-27,27,Electrode,70,Lightning,Voltorb,Stage1,Uncommon,Masakazu Fukuda,"normal, holo",Emerald,EX,107
ex9-28,28,Grovyle,70,Grass,Treecko,Stage1,Uncommon,Mitsuhiro Arita,"normal, holo",Emerald,EX,107
ex9-29,29,Grumpig,80,Psychic,Spoink,Stage1,Uncommon,Kagemaru Himeno,"normal, holo",Emerald,EX,107
ex9-30,30,Grumpig,70,Psychic,Spoink,Stage1,Uncommon,Atsuko Nishida,"normal, holo",Emerald,EX,107
ex9-31,31,Hariyama,80,Fighting,Makuhita,Stage1,Uncommon,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-32,32,Illumise,60,Grass,,Basic,Uncommon,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-33,33,Kirlia,70,Psychic,Ralts,Stage1,Uncommon,Kagemaru Himeno,"normal, holo",Emerald,EX,107
ex9-34,34,Linoone,70,Colorless,Zigzagoon,Stage1,Uncommon,Yuka Morii,"normal, holo",Emerald,EX,107
ex9-35,35,Loudred,80,Colorless,Whismur,Stage1,Uncommon,Hajime Kusajima,"normal, holo",Emerald,EX,107
ex9-36,36,Marshtomp,70,Water,Mudkip,Stage1,Uncommon,Atsuko Nishida,"normal, holo",Emerald,EX,107
ex9-37,37,Minun,60,Lightning,,Basic,Uncommon,Naoyo Kimura,"normal, holo",Emerald,EX,107
ex9-38,38,Ninetales,80,Fire,Vulpix,Stage1,Uncommon,Midori Harada,"normal, holo",Emerald,EX,107
ex9-39,39,Plusle,60,Lightning,,Basic,Uncommon,Naoyo Kimura,"normal, holo",Emerald,EX,107
ex9-40,40,Swalot,80,Grass,Gulpin,Stage1,Uncommon,Atsuko Nishida,"normal, holo",Emerald,EX,107
ex9-41,41,Swellow,70,Colorless,Taillow,Stage1,Uncommon,Naoyo Kimura,"normal, holo",Emerald,EX,107
ex9-42,42,Volbeat,60,Grass,,Basic,Uncommon,Kouki Saitou,"normal, holo",Emerald,EX,107
ex9-43,43,Baltoy,50,Fighting,,Basic,Common,Yuka Morii,"normal, holo",Emerald,EX,107
ex9-44,44,Cacnea,50,Grass,,Basic,Common,Mitsuhiro Arita,"normal, holo",Emerald,EX,107
ex9-45,45,Doduo,40,Colorless,,Basic,Common,Hajime Kusajima,"normal, holo",Emerald,EX,107
ex9-46,46,Duskull,40,Psychic,,Basic,Common,Kagemaru Himeno,"normal, holo",Emerald,EX,107
ex9-47,47,Electrike,50,Lightning,,Basic,Common,Kagemaru Himeno,"normal, holo",Emerald,EX,107
