id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex9-1,1,Brasegali,110,Feu,,Niveau 2,Rare,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-2,2,Deoxys,70,Psy,,De base,Rare,Hironobu Yoshida,holo,EX Émeraude,EX,107
ex9-3,3,Brouhabam,120,Incolore,,Niveau 2,Rare,Hajime Kusajima,holo,EX Émeraude,EX,107
ex9-4,4,Gardevoir,100,Psy,,Niveau 2,Rare,Kagemaru Himeno,holo,EX Émeraude,EX,107
ex9-5,5,Groudon,80,Combat,,De base,Rare,Kouki Saitou,holo,EX Émeraude,EX,107
ex9-6,6,Kyogre,80,Eau,,De base,Rare,Masakazu Fukuda,holo,EX Émeraude,EX,107
ex9-7,7,Elecsprint,80,Électrique,,Niveau 1,Rare,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-8,8,Milobellus,90,Eau,,Niveau 1,Rare,Kagemaru Himeno,holo,EX Émeraude,EX,107
ex9-9,9,Rayquaza,80,Incolore,,De base,Rare,Kouki Saitou,holo,EX Émeraude,EX,107
ex9-10,10,Jungko,100,Plante,,Niveau 2,Rare,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-11,11,Laggron,110,Eau,,Niveau 2,Rare,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-12,12,Eoko,70,Psy,,De base,Rare,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-13,13,Oniglali,80,Eau,,Niveau 1,Rare,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-14,14,Groudon,80,Combat,,De base,Rare,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-15,15,Kyogre,80,Eau,,De base,Rare,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-16,16,Elecsprint,70,Électrique,,Niveau 1,Rare,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-17,17,Tarinor,70,Combat,,De base,Rare,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-18,18,Relicanth,70,Eau,,De base,Rare,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-19,19,Rhinoferos,90,Combat,,Niveau 1,Rare,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-20,20,Seviper,80,Plante,,De base,Rare,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-21,21,Mangriff,70,Incolore,,De base,Rare,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-22,22,Chapignon,80,Plante,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-23,23,Camerupt,80,Feu,,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-24,24,Kaorine,80,Combat,,Niveau 1,Peu Commune,Yuka Morii,"normal, holo",EX Émeraude,EX,107
ex9-25,25,Galifeu,70,Feu,,Niveau 1,Peu Commune,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-26,26,Dodrio,70,Incolore,,Niveau 1,Peu Commune,Hajime Kusajima,"normal, holo",EX Émeraude,EX,107
ex9-27,27,Electrode,70,Électrique,,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-28,28,Massko,70,Plante,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-29,29,Groret,80,Psy,,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-30,30,Groret,70,Psy,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-31,31,Hariyama,80,Combat,,Niveau 1,Peu Commune,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-32,32,Lumivole,60,Plante,,De base,Peu Commune,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-33,33,Kirlia,70,Psy,,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-34,34,Lineon,70,Incolore,,Niveau 1,Peu Commune,Yuka Morii,"normal, holo",EX Émeraude,EX,107
ex9-35,35,Ramboum,80,Incolore,,Niveau 1,Peu Commune,Hajime Kusajima,"normal, holo",EX Émeraude,EX,107
ex9-36,36,Flobio,70,Eau,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-37,37,Negapi,60,Électrique,,De base,Peu Commune,Naoyo Kimura,"normal, holo",EX Émeraude,EX,107
ex9-38,38,Feunard,80,Feu,,Niveau 1,Peu Commune,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-39,39,Posipi,60,Électrique,,De base,Peu Commune,Naoyo Kimura,"normal, holo",EX Émeraude,EX,107
ex9-40,40,Avaltout,80,Plante,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-41,41,Heledelle,70,Incolore,,Niveau 1,Peu Commune,Naoyo Kimura,"normal, holo",EX Émeraude,EX,107
ex9-42,42,Muciole,60,Plante,,De base,Peu Commune,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-43,43,Balbuto,50,Combat,,De base,Commune,Yuka Morii,"normal, holo",EX Émeraude,EX,107
ex9-44,44,Cacnea,50,Plante,,De base,Commune,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-45,45,Doduo,40,Incolore,,De base,Commune,Hajime Kusajima,"normal, holo",EX Émeraude,EX,107
ex9-46,46,Skelenox,40,Psy,,De base,Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-47,47,Dynavolt,50,Électrique,,De base,Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-48,48,Dynavolt,40,Électrique,,De base,Commune,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-49,49,Barpau,30,Eau,,De base,Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-50,50,Barpau,30,Eau,,De base,Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-51,51,Gloupti,50,Plante,,De base,Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-52,52,Embrylex,50,Combat,,De base,Commune,Nakaoka,"normal, holo",EX Émeraude,EX,107
ex9-53,53,Lovdisc,60,Eau,,De base,Commune,Hajime Kusajima,"normal, holo",EX Émeraude,EX,107
ex9-54,54,Makuhita,50,Combat,,De base,Commune,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-55,55,Meditikka,50,Combat,,De base,Commune,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-56,56,Gobou,50,Eau,,De base,Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-57,57,Chamallot,50,Feu,,De base,Commune,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-58,58,Chamallot,50,Feu,,De base,Commune,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-59,59,Pichu,40,Électrique,,De base,Commune,Nakaoka,"normal, holo",EX Émeraude,EX,107
ex9-60,60,Pikachu,50,Électrique,,De base,Commune,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-61,61,Tarsal,50,Psy,,De base,Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-62,62,Rhinocorne,60,Combat,,De base,Commune,Kouki Saitou,"normal, holo",EX Émeraude,EX,107
ex9-63,63,Balignon,40,Plante,,De base,Commune,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-64,64,Stalgamin,50,Eau,,De base,Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-65,65,Spoink,50,Psy,,De base,Commune,Kagemaru Himeno,"normal, holo",EX Émeraude,EX,107
ex9-66,66,Spoink,50,Psy,,De base,Commune,Atsuko Nishida,"normal, holo",EX Émeraude,EX,107
ex9-67,67,Tylton,40,Incolore,,De base,Commune,Hajime Kusajima,"normal, holo",EX Émeraude,EX,107
ex9-68,68,Nirondelle,50,Incolore,,De base,Commune,Naoyo Kimura,"normal, holo",EX Émeraude,EX,107
ex9-69,69,Poussifeu,50,Feu,,De base,Commune,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-70,70,Arcko,50,Plante,,De base,Commune,Mitsuhiro Arita,"normal, holo",EX Émeraude,EX,107
ex9-71,71,Voltorbe,50,Électrique,,De base,Commune,Masakazu Fukuda,"normal, holo",EX Émeraude,EX,107
ex9-72,72,Goupix,50,Feu,,De base,Commune,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-73,73,Chuchmur,50,Incolore,,De base,Commune,Hajime Kusajima,"normal, holo",EX Émeraude,EX,107
ex9-74,74,Zigzaton,40,Incolore,,De base,Commune,Yuka Morii,"normal, holo",EX Émeraude,EX,107
ex9-75,75,Zone de combat,,,,,Peu Commune,Midori Harada,"normal, holo",EX Émeraude,EX,107
ex9-76,76,Double guérison totale,,,,,Peu Commune,Ryo Ueda,"normal, holo",EX Émeraude,EX,107
ex9-77,77,Annette surfe sur le net,,,,,Peu Commune,Ken Sugimori,"normal, holo",EX Émeraude,EX,107
ex9-78,78,Baie Prine,,,,,Peu Commune,Kazuo Yazawa,"normal, holo",EX Émeraude,EX,107
ex9-79,79,Le projet de M. Rochard,,,,,Peu Commune,Ken Sugimori,"normal, holo",EX Émeraude,EX,107
ex9-80,80,Baie Oran,,,,,Peu Commune,Kazuo Yazawa,"normal, holo",EX Émeraude,EX,107
ex9-81,81,PokéNav,,,,,Peu Commune,Katsura Tabata,"normal, holo",EX Émeraude,EX,107
ex9-82,82,Prof. Seko,,,,,Peu Commune,Ken Sugimori,"normal, holo",EX Émeraude,EX,107
ex9-83,83,Super bonbon,,,,,Peu Commune,Ryo Ueda,"normal, holo",EX Émeraude,EX,107
ex9-84,84,Scott,,,,,Peu Commune,Ken Sugimori,"normal, holo",EX Émeraude,EX,107
ex9-85,85,Timmy au dressage,,,,,Peu Commune,Ken Sugimori,"normal, holo",EX Émeraude,EX,107
ex9-86,86,Énergie Obscurité,,,,,Rare,Milky Isobe,"normal, holo",EX Émeraude,EX,107
ex9-87,87,Double Énergie Multicolore,,,,,Rare,,"normal, holo",EX Émeraude,EX,107
ex9-88,88,Énergie Métal,,,,,Rare,Milky Isobe,"normal, holo",EX Émeraude,EX,107
ex9-89,89,Énergies multiples,,,,,Rare,Takumi Akabane,"normal, holo",EX Émeraude,EX,107
ex9-90,90,Altaria ex,100,Incolore,,,Rare,Ryo Ueda,holo,EX Émeraude,EX,107
ex9-91,91,Cacturne ex,110,Plante,,,Rare,Hikaru Koike,holo,EX Émeraude,EX,107
ex9-92,92,Camerupt ex,120,Feu,,,Rare,Ryo Ueda,holo,EX Émeraude,EX,107
ex9-93,93,Deoxys ex,110,Psy,,,Rare,Mitsuhiro Arita,holo,EX Émeraude,EX,107
ex9-94,94,Teraclope ex,100,Psy,,,Rare,Mitsuhiro Arita,holo,EX Émeraude,EX,107
ex9-95,95,Charmina ex,110,Combat,,,Rare,Hikaru Koike,holo,EX Émeraude,EX,107
ex9-96,96,Milobellus ex,130,Eau,,,Rare,Ryo Ueda,holo,EX Émeraude,EX,107
ex9-97,97,Raichu ex,100,Électrique,,,Rare,Mitsuhiro Arita,holo,EX Émeraude,EX,107
ex9-98,98,Regice ex,100,Eau,,,Rare,Hikaru Koike,holo,EX Émeraude,EX,107
ex9-99,99,Regirock ex,110,Combat,,,Rare,Hikaru Koike,holo,EX Émeraude,EX,107
ex9-100,100,Registeel ex,90,Métal,,,Rare,Hikaru Koike,holo,EX Émeraude,EX,107
ex9-101,101,Énergie Plante,,,,De base,Rare,,holo,EX Émeraude,EX,107
ex9-102,102,Énergie Feu,,,,De base,Rare,,holo,EX Émeraude,EX,107
ex9-103,103,Énergie Eau,,,,De base,Rare,,holo,EX Émeraude,EX,107
ex9-104,104,Énergie Électrique,,,,De base,Rare,,holo,EX Émeraude,EX,107
ex9-105,105,Énergie Psy,,,,De base,Rare,,holo,EX Émeraude,EX,107
ex9-106,106,Énergie Combat,,,,De base,Rare,,holo,EX Émeraude,EX,107
ex9-107,107,Canarticho,70,Incolore,,De base,Rare,Masakazu Fukuda,holo,EX Émeraude,EX,107
