id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh7-1,1,Pinsir,120,Grass,,Basic,Rare,Shin Nagasawa,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-2,2,Hoppip,40,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-3,3,Skiploom,60,Grass,Hoppip,Stage1,Uncommon,kirisAki,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-4,4,Jumpluff,90,Grass,Skiploom,Stage2,Holo Rare,Tika Matsuno,"reverse, holo",Evolving Skies,Sword & Shield,237
swsh7-5,5,Seedot,50,Grass,,Basic,Common,otumami,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-6,6,Tropius,110,Grass,,Basic,Rare,Oswaldo KATO,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-7,7,Leafeon V,200,Grass,,Basic,Holo Rare V,5ban Graphics,holo,Evolving Skies,Sword & Shield,237
swsh7-8,8,Leafeon VMAX,310,Grass,Leafeon V,VMAX,Holo Rare VMAX,PLANETA Tsuji,holo,Evolving Skies,Sword & Shield,237
swsh7-9,9,Petilil,60,Grass,,Basic,Common,Mika Pikazo,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-10,10,Lilligant,100,Grass,Petilil,Stage1,Rare,Kagemaru Himeno,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-11,11,Dwebble,60,Grass,,Basic,Common,Shigenori Negishi,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-12,12,Crustle,130,Grass,Dwebble,Stage1,Uncommon,sowsow,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-13,13,Trevenant V,210,Grass,,Basic,Holo Rare V,MUGENUP,holo,Evolving Skies,Sword & Shield,237
swsh7-14,14,Trevenant VMAX,320,Grass,Trevenant V,VMAX,Holo Rare VMAX,MUGENUP,holo,Evolving Skies,Sword & Shield,237
swsh7-15,15,Gossifleur,50,Grass,,Basic,Common,Mizue,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-16,16,Eldegoss,80,Grass,Gossifleur,Stage1,Holo Rare,Kouki Saitou,"reverse, holo",Evolving Skies,Sword & Shield,237
swsh7-17,17,Applin,40,Grass,,Basic,Common,Miki Tanaka,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-18,18,Flareon VMAX,320,Fire,Flareon V,VMAX,Holo Rare VMAX,5ban Graphics,holo,Evolving Skies,Sword & Shield,237
swsh7-19,19,Entei,120,Fire,,Basic,Holo Rare,NC Empire,"reverse, holo",Evolving Skies,Sword & Shield,237
swsh7-20,20,Victini,60,Fire,,Basic,Holo Rare,Teeziro,"reverse, holo",Evolving Skies,Sword & Shield,237
swsh7-21,21,Volcarona V,210,Fire,,Basic,Holo Rare V,kawayoo,holo,Evolving Skies,Sword & Shield,237
swsh7-22,22,Litleo,60,Fire,,Basic,Common,Misa Tsutsui,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-23,23,Pyroar,130,Fire,Litleo,Stage1,Uncommon,Hitoshi Ariga,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-24,24,Psyduck,70,Water,,Basic,Common,OKACHEKE,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-25,25,Golduck,120,Water,Psyduck,Stage1,Uncommon,Kyoko Umemoto,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-26,26,Tentacool,60,Water,,Basic,Common,SATOSHI NAKAI,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-27,27,Tentacruel,120,Water,Tentacool,Stage1,Uncommon,Mina Nakai,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-28,28,Gyarados V,220,Water,,Basic,Holo Rare V,PLANETA Tsuji,holo,Evolving Skies,Sword & Shield,237
swsh7-29,29,Gyarados VMAX,330,Water,Gyarados V,VMAX,Holo Rare VMAX,Shin Nagasawa,holo,Evolving Skies,Sword & Shield,237
swsh7-30,30,Vaporeon VMAX,320,Water,Vaporeon V,VMAX,Holo Rare VMAX,5ban Graphics,holo,Evolving Skies,Sword & Shield,237
swsh7-31,31,Suicune V,210,Water,,Basic,Holo Rare V,Ayaka Yoshida,holo,Evolving Skies,Sword & Shield,237
swsh7-32,32,Lotad,60,Water,,Basic,Common,Teeziro,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-33,33,Lombre,90,Water,Lotad,Stage1,Uncommon,miki kudo,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-34,34,Ludicolo,140,Water,Lombre,Stage2,Holo Rare,sowsow,"reverse, holo",Evolving Skies,Sword & Shield,237
swsh7-35,35,Carvanha,50,Water,,Basic,Common,Kyoko Umemoto,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-36,36,Sharpedo,120,Water,Carvanha,Stage1,Rare,Kazuma Koda,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-37,37,Feebas,30,Water,,Basic,Common,tetsuya koizumi,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-38,38,Milotic,120,Water,Feebas,Stage1,Rare,sui,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-39,39,Luvdisc,70,Water,,Basic,Common,Mizue,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-40,40,Glaceon V,210,Water,,Basic,Holo Rare V,5ban Graphics,holo,Evolving Skies,Sword & Shield,237
swsh7-41,41,Glaceon VMAX,310,Water,Glaceon V,VMAX,Holo Rare VMAX,PLANETA Tsuji,holo,Evolving Skies,Sword & Shield,237
swsh7-42,42,Tympole,70,Water,,Basic,Common,Mina Nakai,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-43,43,Cryogonal,90,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-44,44,Bergmite,70,Water,,Basic,Common,kirisAki,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-45,45,Avalugg,150,Water,Bergmite,Stage1,Uncommon,Kouki Saitou,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-46,46,Wishiwashi,30,Water,,Basic,Rare,Teeziro,"normal, reverse",Evolving Skies,Sword & Shield,237
swsh7-47,47,Eiscue,120,Water,,Basic,Uncommon,Mizue,"normal, reverse",Evolving Skies,Sword & Shield,237
