id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ecard1-1,1,Alakazam,100,Psychic,Kadabra,Stage2,Rare,Hajime Kusajima,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-2,2,Ampharos,100,Lightning,Flaaffy,Stage2,Rare,Atsuko Nishida,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-3,3,Arbok,70,Grass,Ekans,Stage1,Rare,Kyoko Umemoto,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-4,4,Blastoise,100,Water,Wartortle,Stage2,Rare,Kimiya Masago,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-5,5,Butterfree,80,Grass,Metapod,Stage2,Rare,Sumiyoshi Kizuki,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-6,6,Charizard,120,Fire,Charmeleon,Stage2,Rare,Hiromichi Sugiyama,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-7,7,Clefable,70,Colorless,Clefairy,Stage1,Rare,Kagemaru Himeno,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-8,8,Cloyster,80,Water,Shellder,Stage1,Rare,Kyoko Umemoto,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-9,9,Dragonite,100,Colorless,Dragonair,Stage2,Rare,Kagemaru Himeno,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-10,10,Dugtrio,70,Fighting,Diglett,Stage1,Rare,Masako Yamashita,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-11,11,Fearow,70,Colorless,Spearow,Stage1,Rare,Kyoko Umemoto,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-12,12,Feraligatr,120,Water,Croconaw,Stage2,Rare,Mitsuhiro Arita,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-13,13,Gengar,90,Psychic,Haunter,Stage2,Rare,Yukiko Baba,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-14,14,Golem,100,Fighting,Graveler,Stage2,Rare,Aya Kusube,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-15,15,Kingler,80,Water,Krabby,Stage1,Rare,Shin-ichi Yoshida,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-16,16,Machamp,120,Fighting,Machoke,Stage2,Rare,Shin-ichi Yoshida,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-17,17,Magby,30,Fire,,Basic,Rare,Mitsuhiro Arita,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-18,18,Meganium,100,Grass,Bayleef,Stage2,Rare,Hajime Kusajima,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-19,19,Mew,50,Psychic,,Basic,Rare,Hajime Kusajima,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-20,20,Mewtwo,70,Psychic,,Basic,Rare,Kimiya Masago,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-21,21,Ninetales,80,Fire,Vulpix,Stage1,Rare,Atsuko Nishida,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-22,22,Pichu,30,Lightning,,Basic,Rare,Atsuko Nishida,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-23,23,Pidgeot,80,Colorless,Pidgeotto,Stage2,Rare,Tomokazu Komiya,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-24,24,Poliwrath,100,Water,Poliwhirl,Stage2,Rare,Yuka Morii,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-25,25,Raichu,80,Lightning,Pikachu,Stage1,Rare,Atsuko Nishida,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-26,26,Rapidash,70,Fire,Ponyta,Stage1,Rare,Kagemaru Himeno,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-27,27,Skarmory,60,Metal,,Basic,Rare,Kimiya Masago,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-28,28,Typhlosion,100,Fire,Quilava,Stage2,Rare,K.  Hoshiba,"reverse, holo",Expedition Base Set,E-Card,165
ecard1-29,29,Tyranitar,120,Darkness,Pupitar,Stage2,Rare,Kimiya Masago,"reverse, holo",Expedition Base Set,E-Card,165
