id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A3a-001,001,Petilil,60,Grass,,Basic,One Diamond,sui,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-002,002,Lilligant,110,Grass,Petilil,Stage1,One Diamond,Kagemaru Himeno,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-003,003,Rowlet,60,Grass,,Basic,One Diamond,Masakazu Fukuda,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-004,004,Dartrix,80,Grass,Rowlet,Stage1,Two Diamond,AKIRA EGAWA,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-005,005,Decidueye,130,Grass,Dartrix,Stage2,Three Diamond,Souichirou Gunjima,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-006,006,Buzzwole ex,140,Grass,,Basic,Four Diamond,PLANETA Mochizuki,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-007,007,Pheromosa,70,Grass,,Basic,Two Diamond,Shin Nagasawa,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-008,008,Kartana,60,Grass,,Basic,One Diamond,nagimiso,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-009,009,Blacephalon,100,Fire,,Basic,Two Diamond,Anesaki Dynamic,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-010,010,Mantine,90,Water,,Basic,One Diamond,Sanosuke Sakuma,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-011,011,Carvanha,60,Water,,Basic,One Diamond,Hideki Ishikawa,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-012,012,Sharpedo,90,Water,Carvanha,Stage1,Two Diamond,Yumi,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-013,013,Shinx,60,Lightning,,Basic,One Diamond,Sanosuke Sakuma,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-014,014,Luxio,80,Lightning,Shinx,Stage1,One Diamond,Kouki Saitou,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-015,015,Luxray,130,Lightning,Luxio,Stage2,Three Diamond,Masakazu Fukuda,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-016,016,Blitzle,60,Lightning,,Basic,One Diamond,Miki Tanaka,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-017,017,Zebstrika,90,Lightning,Blitzle,Stage1,One Diamond,Hajime Kusajima,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-018,018,Emolga,70,Lightning,,Basic,One Diamond,Naoki Saito,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-019,019,Tapu Koko ex,130,Lightning,,Basic,Four Diamond,PLANETA Igarashi,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-020,020,Xurkitree,100,Lightning,,Basic,Two Diamond,Satoshi Shirai,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-021,021,Zeraora,90,Lightning,,Basic,Three Diamond,kawayoo,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-022,022,Clefairy,60,Psychic,,Basic,One Diamond,Sumiyoshi Kizuki,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-023,023,Clefable,100,Psychic,Clefairy,Stage1,Two Diamond,miki kudo,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-024,024,Phantump,70,Psychic,,Basic,One Diamond,sui,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-025,025,Trevenant,120,Psychic,Phantump,Stage1,One Diamond,Kouki Saitou,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-026,026,Morelull,50,Psychic,,Basic,One Diamond,Midori Harada,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
A3a-027,027,Shiinotic,90,Psychic,Morelull,Stage1,Three Diamond,kawayoo,"normal, reverse, holo",Extradimensional Crisis,Pokémon TCG Pocket,103
