id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm6-1,1,Owei,40,Pflanze,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-2,2,Alola-Kokowei,160,Pflanze,,Rang 1,Selten,Satoshi Shirai,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-3,3,Shnebedeck,80,Pflanze,,Basis,Häufig,match,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-4,4,Rexblisar,130,Pflanze,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-5,5,Purmel,30,Pflanze,,Basis,Häufig,kirisAki,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-6,6,Purmel,40,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-7,7,Puponcho,70,Pflanze,,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-8,8,Vivillon,130,Pflanze,,Rang 2,Selten,Akira Komayama,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-9,9,Mähikel,70,Pflanze,,Basis,Häufig,Suwama Chiaki,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-10,10,Chevrumm,120,Pflanze,,Rang 1,Ungewöhnlich,Anesaki Dynamic,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-11,11,Schabelle,110,Pflanze,,Basis,Selten,Hitoshi Ariga,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-12,12,Alola-Knogga,120,Feuer,,Rang 1,Selten,Suwama Chiaki,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-13,13,Heatran,130,Feuer,,Basis,Selten,tetsuya koizumi,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-14,14,Fynx,60,Feuer,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-15,15,Fynx,70,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-16,16,Rutena,90,Feuer,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-17,17,Fennexis,150,Feuer,,Rang 2,Selten,kawayoo,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-18,18,Leufeo,70,Feuer,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-19,19,Pyroleo,120,Feuer,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-20,20,Palkia GX,180,Wasser,,,Ultra Selten,5ban Graphics,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-21,21,Froxy,50,Wasser,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-22,22,Froxy,70,Wasser,,Basis,Häufig,Aya Kusube,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-23,23,Amphizel,80,Wasser,,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-24,24,Quajutsu GX,230,Wasser,,,Ultra Selten,5ban Graphics,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-25,25,Scampisto,60,Wasser,,Basis,Häufig,Midori Harada,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
sm6-26,26,Wummer,100,Wasser,,Rang 1,Selten,otumami,"normal, reverse, holo",Grauen Der Lichtfinsternis,Sonne & Mond,146
