id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm6-1,1,Exeggcute,40,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-2,2,Alolan Exeggutor,160,Grass,Exeggcute,Stage1,Rare,Satoshi Shirai,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-3,3,Snover,80,Grass,,Basic,Common,match,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-4,4,Abomasnow,130,Grass,Snover,Stage1,Rare,Masakazu Fukuda,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-5,5,Scatterbug,30,Grass,,Basic,Common,kirisAki,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-6,6,Scatterbug,40,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-7,7,Spewpa,70,Grass,Scatterbug,Stage1,Uncommon,Miki Tanaka,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-8,8,Vivillon,130,Grass,Spewpa,Stage2,Rare,Akira Komayama,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-9,9,Skiddo,70,Grass,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-10,10,Gogoat,120,Grass,Skiddo,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-11,11,Pheromosa,110,Grass,,Basic,Rare,Hitoshi Ariga,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-12,12,Alolan Marowak,120,Fire,Cubone,Stage1,Rare,Suwama Chiaki,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
sm6-13,13,Heatran,130,Fire,,Basic,Rare,tetsuya koizumi,"normal, reverse, holo",Forbidden Light,Sun & Moon,146
