id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm6-1,1,Noeunoeuf,40,Plante,,De base,Commune,Yuka Morii,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-2,2,Noadkoko d’Alola,160,Plante,Noeunoeuf,Niveau 1,Rare,Satoshi Shirai,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-3,3,Blizzi,80,Plante,,De base,Commune,match,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-4,4,Blizzaroi,130,Plante,Blizzi,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-5,5,Lépidonille,30,Plante,,De base,Commune,kirisAki,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-6,6,Lépidonille,40,Plante,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-7,7,Pérégrain,70,Plante,Lépidonille,Niveau 1,Peu Commune,Miki Tanaka,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-8,8,Prismillon,130,Plante,Pérégrain,Niveau 2,Rare,Akira Komayama,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-9,9,Cabriolaine,70,Plante,,De base,Commune,Suwama Chiaki,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-10,10,Chevroum,120,Plante,Cabriolaine,Niveau 1,Peu Commune,Anesaki Dynamic,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-11,11,Cancrelove,110,Plante,,De base,Rare,Hitoshi Ariga,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-12,12,Ossatueur d’Alola,120,Feu,Osselait,Niveau 1,Rare,Suwama Chiaki,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-13,13,Heatran,130,Feu,,De base,Rare,tetsuya koizumi,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-14,14,Feunnec,60,Feu,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
sm6-15,15,Feunnec,70,Feu,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Lumière Interdite,Soleil et Lune,146
