id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy3-1,1,Bellsprout,50,Grass,,Basic,Common,Kanako Eo,"normal, reverse, holo",Furious Fists,XY,114
xy3-2,2,Weepinbell,80,Grass,Bellsprout,Stage1,Uncommon,Mizue,"normal, reverse, holo",Furious Fists,XY,114
xy3-3,3,Victreebel,130,Grass,Weepinbell,Stage2,Rare,Sanosuke Sakuma,"normal, reverse, holo",Furious Fists,XY,114
xy3-4,4,Heracross EX,170,Grass,,Basic,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Furious Fists,XY,114
xy3-5,5,M Heracross EX,220,Grass,Heracross-EX,MEGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Furious Fists,XY,114
xy3-6,6,Shroomish,60,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Furious Fists,XY,114
xy3-7,7,Leafeon,90,Grass,Eevee,Stage1,Rare,Naoyo Kimura,"normal, reverse, holo",Furious Fists,XY,114
xy3-8,8,Shelmet,60,Grass,,Basic,Common,sui,"normal, reverse, holo",Furious Fists,XY,114
xy3-9,9,Accelgor,90,Grass,Shelmet,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Furious Fists,XY,114
xy3-10,10,Magmar,80,Fire,,Basic,Common,MAHOU,"normal, reverse, holo",Furious Fists,XY,114
xy3-11,11,Magmortar,120,Fire,Magmar,Stage1,Rare,PLANETA,"normal, reverse, holo",Furious Fists,XY,114
xy3-12,12,Torchic,60,Fire,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Furious Fists,XY,114
xy3-13,13,Combusken,80,Fire,Torchic,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Furious Fists,XY,114
xy3-14,14,Blaziken,140,Fire,Combusken,Stage2,Rare,PLANETA,"normal, reverse, holo",Furious Fists,XY,114
xy3-15,15,Poliwag,60,Water,,Basic,Common,MAHOU,"normal, reverse, holo",Furious Fists,XY,114
xy3-16,16,Poliwhirl,80,Water,Poliwag,Stage1,Uncommon,Kanako Eo,"normal, reverse, holo",Furious Fists,XY,114
xy3-17,17,Poliwrath,140,Water,Poliwhirl,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Furious Fists,XY,114
