id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm2-1,1,Knofensa,60,Pflanze,,Basis,Häufig,Aya Kusube,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-2,2,Ultrigaria,80,Pflanze,,Rang 1,Ungewöhnlich,Mina Nakai,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-3,3,Sarzenia,140,Pflanze,,Rang 2,Selten,TOKIYA,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-4,4,Lilminip,50,Pflanze,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-5,5,Dressella,90,Pflanze,,Rang 1,Selten,You Iribi,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-6,6,Paragoni,60,Pflanze,,Basis,Häufig,Sanosuke Sakuma,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-7,7,Trombork,120,Pflanze,,Rang 1,Selten,Hiroyuki Yamamoto,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-8,8,Reißlaus,70,Pflanze,,Basis,Häufig,match,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-9,9,Tectass,130,Pflanze,,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-10,10,Victini,70,Feuer,,Basis,Selten,kodama,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-11,11,Lichtel,50,Feuer,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-12,12,Laternecto,80,Feuer,,Rang 1,Ungewöhnlich,0313,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-13,13,Skelabra,140,Feuer,,Rang 2,Selten,Kouki Saitou,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-14,14,Choreogel,90,Feuer,,Basis,Selten,Shin Nagasawa,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-15,15,Molunk,70,Feuer,,Basis,Häufig,TOKIYA,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-16,16,Amfira,110,Feuer,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-17,17,Tortunator,110,Feuer,,Basis,Selten,Shin Nagasawa,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-18,18,Tortunator GX,190,Feuer,,,Ultra Selten,5ban Graphics,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-19,19,Alola-Sandan,60,Wasser,,Basis,Häufig,Mizue,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-20,20,Alola-Sandamer,110,Wasser,,Rang 1,Selten,TOKIYA,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-21,21,Alola Vulpix,60,Wasser,,Basis,Häufig,You Iribi,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-22,22,Alola Vulnona GX,210,Wasser,,,Ultra Selten,5ban Graphics,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-23,23,Tentacha,60,Wasser,,Basis,Häufig,Shibuzoh.,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-24,24,Tentoxa,110,Wasser,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-25,25,Quaxo,130,Wasser,,Rang 2,Selten,Saya Tsuruta,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
sm2-26,26,Botogel,90,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Stunde der Wächter,Sonne & Mond,169
