id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm2-1,1,Chétiflor,60,Plante,,De base,Commune,Aya Kusube,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-2,2,Boustiflor,80,Plante,Chétiflor,Niveau 1,Peu Commune,Mina Nakai,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-3,3,Empiflor,140,Plante,Boustiflor,Niveau 2,Rare,TOKIYA,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-4,4,Chlorobule,50,Plante,,De base,Commune,Naoki Saito,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-5,5,Fragilady,90,Plante,Chlorobule,Niveau 1,Rare,You Iribi,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-6,6,Brocélôme,60,Plante,,De base,Commune,Sanosuke Sakuma,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-7,7,Desséliande,120,Plante,Brocélôme,Niveau 1,Rare,Hiroyuki Yamamoto,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-8,8,Sovkipou,70,Plante,,De base,Commune,match,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-9,9,Sarmuraï,130,Plante,Sovkipou,Niveau 1,Rare,Kouki Saitou,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-10,10,Victini,70,Feu,,De base,Rare,kodama,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-11,11,Funécire,50,Feu,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-12,12,Mélancolux,80,Feu,Funécire,Niveau 1,Peu Commune,0313,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-13,13,Lugulabre,140,Feu,Mélancolux,Niveau 2,Rare,Kouki Saitou,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-14,14,Plumeline,90,Feu,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-15,15,Tritox,70,Feu,,De base,Commune,TOKIYA,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-16,16,Malamandre,110,Feu,Tritox,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-17,17,Boumata,110,Feu,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-18,18,Boumata GX,190,Feu,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-19,19,Sabelette d’Alola,60,Eau,,De base,Commune,Mizue,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-20,20,Sablaireau d’Alola,110,Eau,Sabelette d’Alola,Niveau 1,Rare,TOKIYA,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-21,21,Goupix d’Alola,60,Eau,,De base,Commune,You Iribi,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-22,22,Feunard d’Alola GX,210,Eau,Goupix d’Alola,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-23,23,Tentacool,60,Eau,,De base,Commune,Shibuzoh.,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-24,24,Tentacruel,110,Eau,Tentacool,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-25,25,Tarpaud,130,Eau,Têtarte,Niveau 2,Rare,Saya Tsuruta,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
sm2-26,26,Cadoizo,90,Eau,,De base,Commune,sui,"normal, reverse, holo",Gardiens Ascendants,Soleil et Lune,169
