id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
gym2-1,1,Blaine's Arcanine,90,Fire,Growlithe,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-2,2,Blaine's Charizard,100,Fire,Charmeleon,Stage2,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-3,3,Brock's Ninetales,70,Fire,Vulpix,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-4,4,Erika's Venusaur,90,Grass,Ivysaur,Stage2,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-5,5,Giovanni's Gyarados,90,Water,Magikarp,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-6,6,Giovanni's Machamp,100,Fighting,Machoke,Stage2,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-7,7,Giovanni's Nidoking,120,Grass,Nidorino,Stage2,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-8,8,Giovanni's Persian,60,Colorless,Meowth,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-9,9,Koga's Beedrill,80,Grass,Kakuna,Stage2,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-10,10,Koga's Ditto,40,Colorless,,Basic,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-11,11,Lt. Surge's Raichu,80,Lightning,Pikachu,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-12,12,Misty's Golduck,70,Water,Psyduck,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-13,13,Misty's Gyarados,100,Water,Magikarp,Stage1,Rare Holo,Ken Sugimori,"holo, 1st edition",Gym Challenge,Gym,132
gym2-14,14,Rocket's Mewtwo,70,Psychic,,Basic,Rare Holo,Shin-ichi Yoshida,"holo, 1st edition",Gym Challenge,Gym,132
gym2-15,15,Rocket's Zapdos,70,Lightning,,Basic,Rare Holo,Shin-ichi Yoshida,"holo, 1st edition",Gym Challenge,Gym,132
