id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
hgss1-1,1,Arcanin,110,Feu,Caninos,Niveau 1,Rare Holo,Naoki Saito,"normal, reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-2,2,Azumarill,90,Eau,Marill,Niveau 1,Rare Holo,Kouki Saitou,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-3,3,Mélodelfe,80,Incolore,Mélofée,Niveau 1,Rare Holo,Masakazu Fukuda,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-4,4,Léviator,130,Eau,Magicarpe,Niveau 1,Rare Holo,Mitsuhiro Arita,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-5,5,Kapoera,60,Combat,,De base,Rare Holo,Ken Sugimori,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-6,6,Cotovol,90,Plante,Floravol,Niveau 2,Rare Holo,sui,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-7,7,Feunard,90,Feu,Goupix,Niveau 1,Rare Holo,TOKIYA,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-8,8,Noarfang,90,Incolore,Hoothoot,Niveau 1,Rare Holo,Suwama Chiaki,"normal, reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-9,9,Maraiste,100,Eau,Axoloto,Niveau 1,Rare Holo,match,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-10,10,Raichu,90,Électrique,Pikachu,Niveau 1,Rare Holo,match,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-11,11,Caratroc,60,Plante,,De base,Rare Holo,Sumiyoshi Kizuki,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-12,12,Roigada,80,Psy,Ramoloss,Niveau 1,Rare Holo,Sumiyoshi Kizuki,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-13,13,Qulbutoke,90,Psy,,De base,Rare Holo,Yuka Morii,"reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-14,14,Pharamp,120,Électrique,Lainergie,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-15,15,Migalos,80,Plante,Mimigal,Niveau 1,Rare,Ken Sugimori,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-16,16,Papilusion,120,Plante,Chrysacier,Niveau 2,Rare,Tomokazu Komiya,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-17,17,Mélo,30,Incolore,,De base,Rare,Masakazu Fukuda,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-18,18,Noadkoko,90,Psy,Noeunoeuf,Niveau 1,Rare,Miki Tanaka,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-19,19,Canarticho,60,Incolore,,De base,Rare,Aya Kusube,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-20,20,Aligatueur,130,Eau,Crocodil,Niveau 2,Rare,kawayoo,"normal, reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-21,21,Fouinar,80,Incolore,Fouinette,Niveau 1,Rare,MAHOU,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-22,22,Granbull,90,Incolore,Snubbull,Niveau 1,Rare,Ken Sugimori,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-23,23,Hypnomade,90,Psy,Soporifik,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-24,24,Lokhlass,90,Eau,,De base,Rare,Suwama Chiaki,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-25,25,Coxyclaque,80,Plante,Coxy,Niveau 1,Rare,Yuka Morii,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-26,26,Meganium,130,Plante,Macronium,Niveau 2,Rare,Shin Nagasawa,"normal, reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-27,27,Persian,80,Incolore,Miaouss,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-28,28,Pichu,30,Électrique,,De base,Rare,match,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-29,29,Sablaireau,80,Combat,Sabelette,Niveau 1,Rare,Yukiko Baba,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-30,30,Lippouti,30,Psy,,De base,Rare,Midori Harada,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-31,31,Heliatronc,80,Plante,Tournegrin,Niveau 1,Rare,Yuka Morii,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-32,32,Typhlosion,130,Feu,Fleurisson,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse, holo",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-33,33,Debugant,30,Combat,,De base,Rare,Ken Sugimori,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-34,34,Smogogo,90,Psy,Smogo,Niveau 1,Rare,Hajime Kusajima,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-35,35,Macronium,90,Plante,Germignon,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-36,36,Leuphorie,130,Incolore,Leveinard,Niveau 1,Peu Commune,Kanako Eo,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-37,37,Corayon,60,Eau,,De base,Peu Commune,TOKIYA,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-38,38,Crocodil,80,Eau,Kaiminus,Niveau 1,Peu Commune,kawayoo,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-39,39,Cadoizo,70,Eau,,De base,Peu Commune,sui,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-40,40,Donphan,100,Combat,Phanpy,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-41,41,Insolourdo,50,Incolore,,De base,Peu Commune,Ken Sugimori,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-42,42,Lainergie,80,Électrique,Wattouat,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-43,43,Scarhino,80,Plante,,De base,Peu Commune,Sachiko Adachi,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-44,44,Toudoudou,30,Incolore,,De base,Peu Commune,Atsuko Nishida,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
hgss1-45,45,Demanta,80,Eau,,De base,Peu Commune,Naoyo Kimura,"normal, reverse",HeartGold SoulSilver,HeartGold SoulSilver,124
