id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex13-1,1,Armaldo δ,110,"Combat, Métal",,Niveau 2,Rare,Masakazu Fukuda,holo,EX Fantômes Holon,EX,111
ex13-2,2,Vacilys δ,100,"Obscurité, Métal",,Niveau 2,Rare,Kouki Saitou,holo,EX Fantômes Holon,EX,111
ex13-3,3,Deoxys δ,70,Obscurité,,De base,Rare,Mitsuhiro Arita,holo,EX Fantômes Holon,EX,111
ex13-4,4,Deoxys δ,80,Métal,,De base,Rare,Kagemaru Himeno,holo,EX Fantômes Holon,EX,111
ex13-5,5,Deoxys δ,70,Incolore,,De base,Rare,Kouki Saitou,holo,EX Fantômes Holon,EX,111
ex13-6,6,Deoxys δ,60,Électrique,,De base,Rare,Masakazu Fukuda,holo,EX Fantômes Holon,EX,111
ex13-7,7,Libegon δ,110,"Plante, Métal",,Niveau 2,Rare,Kagemaru Himeno,normal,EX Fantômes Holon,EX,111
ex13-8,8,Leviator δ,90,"Électrique, Métal",,Niveau 1,Rare,Hajime Kusajima,holo,EX Fantômes Holon,EX,111
ex13-9,9,Kabutops δ,100,Électrique,,Niveau 2,Rare,Masakazu Fukuda,holo,EX Fantômes Holon,EX,111
ex13-10,10,Hyporoi δ,110,"Feu, Métal",,Niveau 2,Rare,Masakazu Fukuda,holo,EX Fantômes Holon,EX,111
ex13-11,11,Latias δ,70,Feu,,De base,Rare,Masakazu Fukuda,holo,EX Fantômes Holon,EX,111
ex13-12,12,Latios δ,80,Eau,,De base,Rare,Mitsuhiro Arita,holo,EX Fantômes Holon,EX,111
ex13-13,13,Amonistar δ,110,Psy,,Niveau 2,Rare,Midori Harada,holo,EX Fantômes Holon,EX,111
ex13-14,14,Roucarnage δ,100,"Électrique, Métal",,Niveau 2,Rare,Kouki Saitou,holo,EX Fantômes Holon,EX,111
ex13-15,15,Raichu δ,70,Métal,,Niveau 1,Rare,Masakazu Fukuda,holo,EX Fantômes Holon,EX,111
ex13-16,16,Rayquaza δ,80,"Eau, Métal",,De base,Rare,Mitsuhiro Arita,holo,EX Fantômes Holon,EX,111
ex13-17,17,Rafflesia δ,90,"Psy, Métal",,Niveau 2,Rare,Mitsuhiro Arita,holo,EX Fantômes Holon,EX,111
ex13-18,18,Absol,70,Obscurité,,De base,Rare,Masakazu Fukuda,normal,EX Fantômes Holon,EX,111
ex13-19,19,Joliflor δ,100,Eau,,Niveau 2,Rare,Kagemaru Himeno,normal,EX Fantômes Holon,EX,111
ex13-20,20,Brasegali,100,Feu,,Niveau 2,Rare,Hiromichi Sugiyama,normal,EX Fantômes Holon,EX,111
ex13-21,21,Latias δ,70,Feu,,De base,Rare,Mitsuhiro Arita,"normal, holo",EX Fantômes Holon,EX,111
ex13-22,22,Latios δ,80,Eau,,De base,Rare,Masakazu Fukuda,"normal, holo",EX Fantômes Holon,EX,111
