id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp6-1,1,Deoxys Normalform,90,Psycho,,Basis,"Selten, Holografisch",Kent Kanetsuna,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-2,2,Dragoran,140,Farblos,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-3,3,Frosdedje,90,Wasser,,Rang 1,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-4,4,Giratina,100,Psycho,,Basis,"Selten, Holografisch",Kazuaki Aihara,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-5,5,Skorgro,80,Kampf,,Rang 1,"Selten, Holografisch",Kent Kanetsuna,"normal, reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-6,6,Heatran,100,Feuer,,Basis,"Selten, Holografisch",Kent Kanetsuna,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-7,7,Seedraking,130,Wasser,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-8,8,Luxtra,120,Elektro,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-9,9,Mamutel,140,Wasser,,Rang 2,"Selten, Holografisch",Kouki Saitou,"normal, reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-10,10,Metagross,120,Metall,,Rang 2,"Selten, Holografisch",Kent Kanetsuna,"normal, reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-11,11,Mewtu,80,Psycho,,Basis,"Selten, Holografisch",Ken Sugimori,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-12,12,Quaxo,120,Wasser,,Rang 2,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-13,13,Voluminas,90,Kampf,,Rang 1,"Selten, Holografisch",Kent Kanetsuna,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-14,14,Rayquaza,100,Farblos,,Basis,"Selten, Holografisch",Kent Kanetsuna,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-15,15,Regigigas,120,Farblos,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-16,16,Kryppuck,70,Psycho,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-17,17,Yanmega,90,Pflanze,,Rang 1,"Selten, Holografisch",Kent Kanetsuna,"normal, reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-18,18,Armaldo,140,Kampf,,Rang 2,Selten,Kazuaki Aihara,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-19,19,Tobutz,70,Psycho,,Basis,Selten,Ken Sugimori,"normal, reverse, holo",Erwachte Legenden,Diamant & Perl,146
dp6-20,20,Blubella,100,Pflanze,,Rang 2,Selten,Atsuko Nishida,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-21,21,Wielie,120,Pflanze,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-22,22,Krebutack,90,Wasser,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-23,23,Enokoro,80,Farblos,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-24,24,Deoxys Angriffsform,80,Psycho,,Basis,Selten,Kent Kanetsuna,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-25,25,Deoxys Verteidigungsform,100,Psycho,,Basis,Selten,Kazuaki Aihara,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
dp6-26,26,Deoxys Initiativform,70,Psycho,,Basis,Selten,Kazuaki Aihara,"normal, reverse",Erwachte Legenden,Diamant & Perl,146
