id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp2-1,1,Galeking,130,Métal,,Niveau 2,Rare Holo,Kouki Saitou,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-2,2,Alakazam,100,Psy,,Niveau 2,Rare Holo,Kouki Saitou,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-3,3,Capidextre,80,Incolore,,Niveau 1,Rare Holo,Kouki Saitou,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-4,4,Créfadet,60,Psy,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-5,5,Leuphorie,130,Incolore,,Niveau 1,Rare Holo,Kagemaru Himeno,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-6,6,Archéodong,90,Métal,,Niveau 1,Rare Holo,Daisuke Ito,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-7,7,Celebi,60,Plante,,De base,Rare Holo,Kagemaru Himeno,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-8,8,Aligatueur,130,Eau,,Niveau 2,Rare Holo,Kazuyuki Kano,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-9,9,Carchacrok,130,Incolore,,Niveau 2,Rare Holo,Kazuyuki Kano,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-10,10,Corboss,90,Obscurité,,Niveau 1,Rare Holo,Kazuyuki Kano,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-11,11,Luminéon,80,Eau,,Niveau 1,Rare Holo,Mitsuhiro Arita,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-12,12,Maganon,100,Feu,,Niveau 1,Rare Holo,Hiroaki Ito,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-13,13,Meganium,130,Plante,,Niveau 2,Rare Holo,Daisuke Ito,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-14,14,Créfollet,60,Psy,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-15,15,Raichu,90,Électrique,,Niveau 1,Rare Holo,Daisuke Ito,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-16,16,Typhlosion,110,Feu,,Niveau 2,Rare Holo,Kazuyuki Kano,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-17,17,Tyranocif,140,Obscurité,,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-18,18,Créhelf,60,Psy,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-19,19,Blizzaroi,100,Plante,,Niveau 1,Rare,Kazuyuki Kano,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-20,20,Migalos,80,Plante,,Niveau 1,Rare,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-21,21,Bastiodon,130,Métal,,Niveau 2,Rare,Kazuyuki Kano,"normal, reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-22,22,Éoko,70,Psy,,De base,Rare,Daisuke Ito,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-23,23,Nostenfer,100,Psy,,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-24,24,Noadkoko,90,Plante,,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-25,25,Oniglali,90,Eau,,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-26,26,Leviator,120,Eau,,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-27,27,Mélokrik,80,Plante,,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-28,28,Elecsprint,80,Électrique,,Niveau 1,Rare,Atsuko Nishida,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-29,29,Demanta,80,Eau,,De base,Rare,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-30,30,M. Mime,70,Psy,,De base,Rare,Kagemaru Himeno,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-31,31,Nidoqueen,120,Psy,,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-32,32,Feunard,80,Feu,,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-33,33,Charkos,120,Combat,,Niveau 2,Rare,Kazuyuki Kano,"normal, reverse, holo",Trésors Mystérieux,Diamant & Perle,124
dp2-34,34,Monaflemit,140,Incolore,,Niveau 2,Rare,Kouki Saitou,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-35,35,Simularbre,80,Combat,,De base,Rare,Atsuko Nishida,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-36,36,Coatox,90,Psy,,Niveau 1,Rare,Daisuke Ito,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-37,37,Zarbi,50,Psy,,De base,Rare,Daisuke Ito,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-38,38,Ursaring,100,Incolore,,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-39,39,Kaimorse,130,Eau,,Niveau 2,Rare,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-40,40,Barbicha,90,Eau,,Niveau 1,Rare,Daisuke Ito,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-41,41,Macronium,80,Plante,,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-42,42,Korillon,40,Psy,,De base,Peu Commune,Emi Yoshida,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-43,43,Kranidos,70,Combat,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-44,44,Crocrodil,80,Eau,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-45,45,Lamantine LV.36,90,Eau,,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-46,46,Dodrio,80,Incolore,,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-47,47,Insolourdo,60,Incolore,,De base,Peu Commune,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-48,48,Carmache,80,Incolore,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-49,49,Girafarig,70,Incolore,,De base,Peu Commune,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-50,50,Nosferalto,70,Psy,,Niveau 1,Peu Commune,Kazuyuki Kano,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-51,51,Gravalanch,90,Combat,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-52,52,Ptiravi,60,Incolore,,De base,Peu Commune,Yuka Morii,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-53,53,Galegon,80,Métal,,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-54,54,Magmar,70,Feu,,De base,Peu Commune,Mitsuhiro Arita,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-55,55,Maskadra,70,Plante,,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-56,56,Nidorina,80,Psy,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-57,57,Octillery,80,Eau,,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-58,58,Parasect,90,Plante,,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-59,59,Ymphect,70,Combat,,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-60,60,Feurisson,80,Feu,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-61,61,Sablaireau,90,Combat,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-62,62,Phogleur,80,Eau,,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-63,63,Dinoclier,80,Métal,,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-64,64,Tropius,80,Plante,,De base,Peu Commune,Kazuyuki Kano,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-65,65,Zarbi,50,Psy,,De base,Peu Commune,Daisuke Ito,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-66,66,Zarbi M,50,Psy,,De base,Peu Commune,Kazuyuki Kano,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-67,67,Zarbi T,50,Psy,,De base,Peu Commune,Kazuyuki Kano,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-68,68,Vigoroth,80,Incolore,,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
dp2-69,69,Abra,50,Psy,,De base,Commune,Ken Sugimori,"normal, reverse",Trésors Mystérieux,Diamant & Perle,124
