id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo4-1,1,Pharamp obscur,70,Électrique,,Niveau 2,Rare,Kagemaru Himeno,"holo, 1st edition",Neo Destiny,Neo,113
neo4-2,2,Nostenfer obscur,70,Plante,,Niveau 2,Rare,,"holo, 1st edition",Neo Destiny,Neo,113
neo4-3,3,Donphan obscur,60,Combat,,Niveau 1,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-4,4,Mentali obscur,60,Psy,,Niveau 1,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-5,5,Aligatueur obscur,80,Eau,,Niveau 2,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-6,6,Ectoplasma obscur,70,Psy,,Niveau 2,Rare,Aya Kusube,"holo, 1st edition",Neo Destiny,Neo,113
neo4-7,7,Démolosse obscur,60,Feu,,Niveau 1,Rare,Kagemaru Himeno,"holo, 1st edition",Neo Destiny,Neo,113
neo4-8,8,Porygon2 obscur,60,Incolore,,Niveau 1,Rare,,"holo, 1st edition",Neo Destiny,Neo,113
neo4-9,9,Cizayox obscur,70,Métal,,Niveau 1,Rare,Mitsuhiro Arita,"holo, 1st edition",Neo Destiny,Neo,113
neo4-10,10,Typhlosion obscur,80,Feu,,Niveau 2,Rare,Mitsuhiro Arita,"holo, 1st edition",Neo Destiny,Neo,113
neo4-11,11,Tyranocif obscur,90,Combat,,Niveau 2,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-12,12,Arcanin lumineux,100,Feu,,Niveau 1,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-13,13,Azumarill lumineux,80,Eau,,Niveau 1,Rare,Yuka Morii,"holo, 1st edition",Neo Destiny,Neo,113
neo4-14,14,Dracolosse lumineux,100,Incolore,,Niveau 2,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-15,15,Togetic lumineux,60,Incolore,,Niveau 1,Rare,Naoyo Kimura,"holo, 1st edition",Neo Destiny,Neo,113
neo4-16,16,Énergie miracle,,,,,Rare,Milky Isobe,"holo, 1st edition",Neo Destiny,Neo,113
neo4-17,17,Migalos obscur,60,Plante,,Niveau 1,Rare,Toshinao Aoki,"normal, 1st edition",Neo Destiny,Neo,113
neo4-18,18,Volcaropod obscur,60,Feu,,Niveau 1,Rare,Toshinao Aoki,"normal, 1st edition",Neo Destiny,Neo,113
neo4-19,19,Amonistar obscur,70,Eau,,Niveau 2,Rare,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-20,20,Roigada obscur,60,Psy,,Niveau 1,Rare,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-21,21,Ursaring obscur,60,Incolore,,Niveau 1,Rare,Mitsuhiro Arita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-22,22,Draco lumineux,80,Incolore,,Niveau 1,Rare,Atsuko Nishida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-23,23,Lanturn lumineux,80,Électrique,,Niveau 1,Rare,Miki Tanaka,"normal, 1st edition",Neo Destiny,Neo,113
neo4-24,24,Coxyclaque lumineux,70,Plante,,Niveau 1,Rare,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
