id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo1-1,1,Ampharos,80,Lightning,Flaaffy,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-2,2,Azumarill,70,Water,Marill,Stage1,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-3,3,Bellossom,70,Grass,Gloom,Stage2,Rare,Atsuko Nishida,"holo, 1st edition",Neo Genesis,Neo,111
neo1-4,4,Feraligatr,100,Water,Croconaw,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-5,5,Feraligatr,120,Water,Croconaw,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-6,6,Heracross,60,Grass,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-7,7,Jumpluff,70,Grass,Skiploom,Stage2,Rare,Atsuko Nishida,"holo, 1st edition",Neo Genesis,Neo,111
neo1-8,8,Kingdra,90,Water,Seadra,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-9,9,Lugia,90,Colorless,,Basic,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Genesis,Neo,111
neo1-10,10,Meganium,100,Grass,Bayleef,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-11,11,Meganium,100,Grass,Bayleef,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-12,12,Pichu,30,Lightning,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-13,13,Skarmory,60,Metal,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-14,14,Slowking,80,Psychic,Slowpoke,Stage1,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-15,15,Steelix,110,Metal,Onix,Stage1,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-16,16,Togetic,60,Colorless,Togepi,Stage1,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-17,17,Typhlosion,100,Fire,Quilava,Stage2,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Genesis,Neo,111
neo1-18,18,Typhlosion,100,Fire,Quilava,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Neo Genesis,Neo,111
neo1-19,19,Metal Energy,,,,,Rare,Milky Isobe,"holo, 1st edition",Neo Genesis,Neo,111
neo1-20,20,Cleffa,30,Colorless,,Basic,Rare,Kagemaru Himeno,"holo, 1st edition",Neo Genesis,Neo,111
neo1-21,21,Donphan,70,Fighting,Phanpy,Stage1,Rare,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-22,22,Elekid,30,Lightning,,Basic,Rare,Miki Tanaka,"normal, 1st edition",Neo Genesis,Neo,111
neo1-23,23,Magby,30,Fire,,Basic,Rare,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-24,24,Murkrow,50,Darkness,,Basic,Rare,Shin-ichi Yoshida,"normal, 1st edition",Neo Genesis,Neo,111
neo1-25,25,Sneasel,60,Darkness,,Basic,Rare,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-26,26,Aipom,40,Colorless,,Basic,Uncommon,Hironobu Yoshida,"normal, 1st edition",Neo Genesis,Neo,111
neo1-27,27,Ariados,60,Grass,Spinarak,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-28,28,Bayleef,70,Grass,Chikorita,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-29,29,Bayleef,80,Grass,Chikorita,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-30,30,Clefairy,50,Colorless,,Basic,Uncommon,Sumiyoshi Kizuki,"normal, 1st edition",Neo Genesis,Neo,111
neo1-31,31,Croconaw,70,Water,Totodile,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-32,32,Croconaw,80,Water,Totodile,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-33,33,Electabuzz,70,Lightning,,Basic,Uncommon,Shin-ichi Yoshida,"normal, 1st edition",Neo Genesis,Neo,111
neo1-34,34,Flaaffy,60,Lightning,Mareep,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-35,35,Furret,60,Colorless,Sentret,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-36,36,Gloom,60,Grass,Oddish,Stage1,Uncommon,Mitsuhiro Arita,"normal, 1st edition",Neo Genesis,Neo,111
neo1-37,37,Granbull,70,Colorless,Snubbull,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-38,38,Lanturn,70,Lightning,,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
neo1-39,39,Ledian,60,Grass,Ledyba,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Neo Genesis,Neo,111
