id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv03-001,001,Mystherbe,50,Plante,,De base,Commune,Midori Harada,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-002,002,Ortide,80,Plante,Mystherbe,Niveau 1,Commune,Haru Akasaka,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-003,003,Joliflor,130,Plante,Ortide,Niveau 2,Peu Commune,sui,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-004,004,Insécateur,80,Plante,,De base,Commune,Shin Nagasawa,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-005,005,Caratroc,80,Plante,,De base,Commune,Kurata So,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-006,006,Arakdo,60,Plante,,De base,Commune,Saya Tsuruta,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-007,007,Maskadra,100,Plante,Arakdo,Niveau 1,Peu Commune,Haru Akasaka,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-008,008,Apitrini,50,Plante,,De base,Commune,HYOGONOSUKE,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-009,009,Trompignon,50,Plante,,De base,Commune,You Iribi,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-010,010,Gaulet,110,Plante,Trompignon,Niveau 1,Peu Commune,Nobuhiro Imagawa,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-011,011,Brocélôme,60,Plante,,De base,Commune,Narumi Sato,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-012,012,Desséliande,140,Plante,Brocélôme,Niveau 1,Peu Commune,Anesaki Dynamic,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-013,013,Brindibou,70,Plante,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Flammes Obsidiennes,Écarlate et Violet,230
sv03-014,014,Efflèche,90,Plante,Brindibou,Niveau 1,Peu Commune,sui,"normal, reverse, holo",Flammes Obsidiennes,Écarlate et Violet,230
sv03-015,015,Archéduc-ex,320,Plante,Efflèche,Niveau 2,Double rare,PLANETA Mochizuki,holo,Flammes Obsidiennes,Écarlate et Violet,230
sv03-016,016,Croquine,60,Plante,,De base,Commune,Kurata So,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-017,017,Candine,90,Plante,Croquine,Niveau 1,Commune,nagimiso,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-018,018,Sucreine,160,Plante,Candine,Niveau 2,Peu Commune,Atsushi Furusawa,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-019,019,Olivini,50,Plante,,De base,Commune,Masako Tomii,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-020,020,Olivado,80,Plante,Olivini,Niveau 1,Commune,Mizue,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-021,021,Arboliva,140,Plante,Olivado,Niveau 2,Peu Commune,KEIICHIRO ITO,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-022,022,Terracruel-ex,270,Plante,Terracool,Niveau 1,Double rare,5ban Graphics,holo,Flammes Obsidiennes,Écarlate et Violet,230
sv03-023,023,Pimito,50,Plante,,De base,Commune,Shin Nagasawa,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-024,024,Pimito,70,Plante,,De base,Commune,Pani Kobayashi,"normal, reverse",Flammes Obsidiennes,Écarlate et Violet,230
sv03-025,025,Scovilain,110,Plante,Pimito,Niveau 1,Rare,kodama,"reverse, holo",Flammes Obsidiennes,Écarlate et Violet,230
sv03-026,026,Salamèche,60,Feu,,De base,Commune,DOM,"normal, reverse, holo",Flammes Obsidiennes,Écarlate et Violet,230
sv03-027,027,Reptincel,90,Feu,Salamèche,Niveau 1,Peu Commune,Ryota Murayama,"normal, reverse, holo",Flammes Obsidiennes,Écarlate et Violet,230
