id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pop3-1,1,Blastoise,120,Water,Wartortle,Stage2,Rare,Mitsuhiro Arita,"normal, holo",POP Series 3,POP,17
pop3-2,2,Flareon,70,Fire,Eevee,Stage1,Rare,Masakazu Fukuda,holo,POP Series 3,POP,17
pop3-3,3,Jolteon,70,Lightning,Eevee,Stage1,Rare,Masakazu Fukuda,holo,POP Series 3,POP,17
pop3-4,4,Minun,50,Lightning,,Basic,Rare,Sumiyoshi Kizuki,holo,POP Series 3,POP,17
pop3-5,5,Plusle,50,Lightning,,Basic,Rare,Sumiyoshi Kizuki,"normal, holo",POP Series 3,POP,17
pop3-6,6,Vaporeon,70,Water,Diglett,Stage1,Rare,Masakazu Fukuda,"normal, holo",POP Series 3,POP,17
pop3-7,7,Combusken,70,Fire,,Stage1,Uncommon,Mitsuhiro Arita,,POP Series 3,POP,17
pop3-8,8,Donphan,80,Fighting,,Stage1,Uncommon,Tomoaki Imakuni,,POP Series 3,POP,17
pop3-9,9,Forretress,70,Grass,,Stage1,Uncommon,Midori Harada,,POP Series 3,POP,17
pop3-10,10,High Pressure System,,,,,Uncommon,Ken Ikuji,,POP Series 3,POP,17
pop3-11,11,Low Pressure System,,,,,Uncommon,Shin-ichi Yoshikawa,,POP Series 3,POP,17
pop3-12,12,Ditto,60,Psychic,,Basic,Common,Yuka Morii,,POP Series 3,POP,17
pop3-13,13,Eevee,50,Colorless,,Basic,Common,Masakazu Fukuda,normal,POP Series 3,POP,17
pop3-14,14,Ivysaur,70,Grass,,Stage1,Common,Midori Harada,,POP Series 3,POP,17
pop3-15,15,Marshtomp,70,Fighting,Mudkip,Stage1,Common,Midori Harada,,POP Series 3,POP,17
pop3-16,16,Pichu Bros.,60,Lightning,,Basic,Common,Kagemaru Himeno,,POP Series 3,POP,17
pop3-17,17,Ho-Oh ex,110,Fire,,Basic,Ultra Rare,Mitsuhiro Arita,,POP Series 3,POP,17
