id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pop4-2,2,Deoxys δ,70,Incolore,,De base,Rare,Kouki Saitou,"normal, holo",POP Série 4,POP,17
pop4-5,5,Jungko,100,Plante,,Niveau 2,Rare,Atsuko Nishida,normal,POP Série 4,POP,17
pop4-6,6,Galifeu,70,Feu,,Niveau 1,Peu Commune,Mitsuhiro Arita,holo,POP Série 4,POP,17
pop4-7,7,Massko,70,Plante,,Niveau 1,Peu Commune,Mitsuhiro Arita,normal,POP Série 4,POP,17
pop4-8,8,Énergie guérisseuse,,,,,Peu Commune,Takumi Akabane,normal,POP Série 4,POP,17
pop4-9,9,Fan Club Pokémon,,,,,Peu Commune,Ken Sugimori,,POP Série 4,POP,17
pop4-10,10,Énergie codée,,,,,Peu Commune,Takumi Akabane,,POP Série 4,POP,17
pop4-11,11,Gobou,50,Eau,,De base,Commune,Masakazu Fukuda,"normal, holo",POP Série 4,POP,17
pop4-12,12,Roucool,40,Incolore,,De base,Commune,Hisao Nakamura,,POP Série 4,POP,17
pop4-13,13,Pikachu,50,Électrique,,De base,Commune,Kouki Saitou,"normal, holo",POP Série 4,POP,17
pop4-14,14,Carapuce,50,Eau,,De base,Commune,Atsuko Nishida,normal,POP Série 4,POP,17
pop4-15,15,Arcko δ,40,Psy,,De base,Commune,Masakazu Fukuda,,POP Série 4,POP,17
pop4-16,16,Qulbutoké,80,Psy,,De base,Commune,Kagemaru Himeno,holo,POP Série 4,POP,17
pop4-17,17,Deoxys ex,110,Psy,,De base,Ultra Rare,Hiromichi Sugiyama,,POP Série 4,POP,17
