id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw8-1,1,Tortipouss,70,Plante,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-2,2,Boskara,100,Plante,Tortipouss,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-3,3,Torterra,150,Plante,Boskara,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-4,4,Apitrini,30,Plante,,De base,Commune,Yukiko Baba,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-5,5,Apireine,100,Plante,Apitrini,Niveau 1,Rare,Hajime Kusajima,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-6,6,Ceribou,40,Plante,,De base,Commune,sui,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-7,7,Ceriflor,70,Plante,Ceribou,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-8,8,Larveyette,40,Plante,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-9,9,Couverdure,80,Plante,Larveyette,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-10,10,Manternel,140,Plante,Couverdure,Niveau 2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-11,11,Maracachi,90,Plante,,De base,Peu Commune,Shigenori Negishi,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-12,12,Trompignon,40,Plante,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-13,13,Gaulet,90,Plante,Trompignon,Niveau 1,Peu Commune,5ban Graphics,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-14,14,Sulfura-EX,170,Feu,,,Rare,Eske Yoshinob,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-15,15,Ouisticram,50,Feu,,De base,Commune,sui,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-16,16,Chimpenfeu,80,Feu,Ouisticram,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-17,17,Simiabraz,130,Feu,Chimpenfeu,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-18,18,Victini-EX,110,Feu,,,Rare,Eske Yoshinob,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-19,19,Flamajou,70,Feu,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
bw8-20,20,Flamoutan,90,Feu,Flamajou,Niveau 1,Peu Commune,Naoki Saito,"normal, reverse, holo",Tempète Plasma,Noir & Blanc,138
