id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh10.5-001,001,Bisasam,70,Pflanze,,Basis,Häufig,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-002,002,Bisaknosp,100,Pflanze,Bisasam,Rang 1,Ungewöhnlich,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-003,003,Bisaflor,180,Pflanze,Bisaknosp,Rang 2,Holografisch Selten,,"reverse, holo",Pokémon GO,Schwert & Schild,88
swsh10.5-004,004,Strahlendes Bisaflor,150,Pflanze,,Basis,"Selten, Strahlend",,holo,Pokémon GO,Schwert & Schild,88
swsh10.5-005,005,Alola-Kokowei V,240,Pflanze,,Basis,Holografisch Selten V,,holo,Pokémon GO,Schwert & Schild,88
swsh10.5-006,006,Webarak,60,Pflanze,,Basis,Häufig,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-007,007,Ariados,110,Pflanze,Webarak,Rang 1,Ungewöhnlich,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-008,008,Glumanda,60,Feuer,,Basis,Häufig,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-009,009,Glutexo,90,Feuer,Glumanda,Rang 1,Ungewöhnlich,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-010,010,Glurak,170,Feuer,Glutexo,Rang 2,Holografisch Selten,,"reverse, holo",Pokémon GO,Schwert & Schild,88
swsh10.5-011,011,Strahlendes Glurak,160,Feuer,,Basis,"Selten, Strahlend",,holo,Pokémon GO,Schwert & Schild,88
swsh10.5-012,012,Lavados,120,Feuer,,Basis,Holografisch Selten,,"reverse, holo",Pokémon GO,Schwert & Schild,88
swsh10.5-013,013,Camaub,80,Feuer,,Basis,Häufig,,"normal, reverse",Pokémon GO,Schwert & Schild,88
swsh10.5-014,014,Camerupt,140,Feuer,Camaub,Rang 1,Ungewöhnlich,,"normal, reverse",Pokémon GO,Schwert & Schild,88
