id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh10.5-001,001,Bulbasaur,70,Grass,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-002,002,Ivysaur,100,Grass,Bulbasaur,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-003,003,Venusaur,180,Grass,Ivysaur,Stage2,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-004,004,Radiant Venusaur,150,Grass,,Basic,Radiant Rare,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-005,005,Alolan Exeggutor V,240,Grass,,Basic,Holo Rare V,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-006,006,Spinarak,60,Grass,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-007,007,Ariados,110,Grass,Spinarak,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-008,008,Charmander,60,Fire,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-009,009,Charmeleon,90,Fire,Charmander,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-010,010,Charizard,170,Fire,Charmeleon,Stage2,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-011,011,Radiant Charizard,160,Fire,,Basic,Radiant Rare,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-012,012,Moltres,120,Fire,,Basic,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-013,013,Numel,80,Fire,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-014,014,Camerupt,140,Fire,Numel,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-015,015,Squirtle,70,Water,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-016,016,Wartortle,90,Water,Squirtle,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-017,017,Blastoise,170,Water,Wartortle,Stage2,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-018,018,Radiant Blastoise,150,Water,,Basic,Radiant Rare,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-019,019,Slowpoke,70,Water,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-020,020,Slowbro,120,Water,Slowpoke,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-021,021,Magikarp,30,Water,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-022,022,Gyarados,170,Water,Magikarp,Stage1,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-023,023,Lapras,120,Water,,Basic,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-024,024,Articuno,120,Water,,Basic,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-025,025,Wimpod,70,Water,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-026,026,Golisopod,130,Water,Wimpod,Stage1,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-027,027,Pikachu,60,Lightning,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-028,028,Pikachu,70,Lightning,,Basic,Holo Rare,,"normal, reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-029,029,Zapdos,120,Lightning,,Basic,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-030,030,Mewtwo V,220,Psychic,,Basic,Holo Rare V,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-031,031,Mewtwo VSTAR,280,Psychic,Mewtwo V,VSTAR,Holo Rare VMAX,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-032,032,Natu,50,Psychic,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-033,033,Xatu,110,Psychic,Natu,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-034,034,Lunatone,90,Psychic,,Basic,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-035,035,Sylveon,120,Psychic,Eevee,Stage1,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-036,036,Onix,120,Fighting,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-037,037,Larvitar,60,Fighting,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-038,038,Pupitar,90,Fighting,Larvitar,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-039,039,Solrock,90,Fighting,,Basic,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-040,040,Conkeldurr V,230,Fighting,,Basic,Holo Rare V,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-041,041,Alolan Rattata,40,Darkness,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-042,042,Alolan Raticate,120,Darkness,Alolan Rattata,Stage1,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-043,043,Tyranitar,180,Darkness,Pupitar,Stage2,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-044,044,Steelix,180,Metal,Onix,Stage1,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-045,045,Meltan,70,Metal,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-046,046,Melmetal,160,Metal,Meltan,Stage1,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-047,047,Melmetal V,220,Metal,,Basic,Holo Rare V,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-048,048,Melmetal VMAX,330,Metal,Melmetal V,VMAX,Holo Rare VMAX,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-049,049,Dragonite V,230,Dragon,,Basic,Holo Rare V,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-050,050,Dragonite VSTAR,280,Dragon,Dragonite V,VSTAR,Holo Rare VSTAR,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-051,051,Chansey,130,Colorless,,Basic,Uncommon,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-052,052,Blissey,200,Colorless,Chansey,Stage1,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
swsh10.5-053,053,Ditto,70,Colorless,,Basic,Holo Rare,,holo,Pokémon GO,Sword & Shield,88
swsh10.5-054,054,Eevee,60,Colorless,,Basic,Common,,"normal, reverse",Pokémon GO,Sword & Shield,88
swsh10.5-055,055,Snorlax,150,Colorless,,Basic,Holo Rare,,"reverse, holo",Pokémon GO,Sword & Shield,88
