id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy5-1,1,Hornliu,50,Pflanze,,Basis,Häufig,Midori Harada,"normal, reverse, holo",Protoshock,XY,164
xy5-2,2,Kokuna,80,Pflanze,Hornliu,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Protoshock,XY,164
xy5-3,3,Bibor,120,Pflanze,Kokuna,Rang 2,Selten,Kouki Saitou,"normal, reverse, holo",Protoshock,XY,164
xy5-4,4,Tangela,80,Pflanze,,Basis,Häufig,match,"normal, reverse, holo",Protoshock,XY,164
xy5-5,5,Tangoloss,130,Pflanze,Tangela,Rang 1,Selten,MAHOU,"normal, reverse, holo",Protoshock,XY,164
xy5-6,6,Geckarbor,60,Pflanze,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Protoshock,XY,164
xy5-7,7,Reptain,80,Pflanze,Geckarbor,Rang 1,Ungewöhnlich,match,"normal, reverse, holo",Protoshock,XY,164
xy5-8,8,Gewaldro,130,Pflanze,Reptain,Rang 2,Selten,Hajime Kusajima,"normal, reverse, holo",Protoshock,XY,164
xy5-9,9,Gewaldro,140,Pflanze,Reptain,Rang 2,Selten,hatachu,"normal, reverse, holo",Protoshock,XY,164
xy5-10,10,Loturzel,60,Pflanze,,Basis,Häufig,Kanako Eo,"normal, reverse, holo",Protoshock,XY,164
xy5-11,11,Lombrero,80,Pflanze,Loturzel,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Protoshock,XY,164
xy5-12,12,Kappalores,130,Pflanze,Lombrero,Rang 2,Selten,Mizue,"normal, reverse, holo",Protoshock,XY,164
xy5-13,13,Gehweiher,50,Pflanze,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Protoshock,XY,164
xy5-14,14,Maskeregen,80,Pflanze,Gehweiher,Rang 1,Ungewöhnlich,Kanako Eo,"normal, reverse, holo",Protoshock,XY,164
xy5-15,15,Knilz,60,Pflanze,,Basis,Häufig,Mizue,"normal, reverse, holo",Protoshock,XY,164
xy5-16,16,Kapilz,100,Pflanze,Knilz,Rang 1,Selten,Suwama Chiaki,"normal, reverse, holo",Protoshock,XY,164
xy5-17,17,Volbeat,70,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse, holo",Protoshock,XY,164
xy5-18,18,Illumise,70,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse, holo",Protoshock,XY,164
xy5-19,19,Trombork EX,180,Pflanze,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Protoshock,XY,164
xy5-20,20,Vulpix,60,Feuer,,Basis,Häufig,kirisAki,"normal, reverse, holo",Protoshock,XY,164
xy5-21,21,Vulnona,90,Feuer,Vulpix,Rang 1,Selten,Kanako Eo,"normal, reverse, holo",Protoshock,XY,164
xy5-22,22,Schneckmag,70,Feuer,,Basis,Häufig,Miki Tanaka,"normal, reverse, holo",Protoshock,XY,164
xy5-23,23,Magcargo,120,Feuer,Schneckmag,Rang 1,Ungewöhnlich,Shigenori Negishi,"normal, reverse, holo",Protoshock,XY,164
xy5-24,24,Magcargo,110,Feuer,Schneckmag,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Protoshock,XY,164
xy5-25,25,Flemmli,60,Feuer,,Basis,Häufig,sui,"normal, reverse, holo",Protoshock,XY,164
xy5-26,26,Flemmli,50,Feuer,,Basis,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Protoshock,XY,164
xy5-27,27,Jungglut,80,Feuer,Flemmli,Rang 1,Ungewöhnlich,kawayoo,"normal, reverse, holo",Protoshock,XY,164
xy5-28,28,Lohgock,140,Feuer,Jungglut,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",Protoshock,XY,164
xy5-29,29,Camerupt EX,180,Feuer,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Protoshock,XY,164
xy5-30,30,Seeper,60,Wasser,,Basis,Häufig,kirisAki,"normal, reverse, holo",Protoshock,XY,164
xy5-31,31,Seemon,80,Wasser,Seeper,Rang 1,Ungewöhnlich,Sanosuke Sakuma,"normal, reverse, holo",Protoshock,XY,164
xy5-32,32,Sterndu,60,Wasser,,Basis,Häufig,Tomokazu Komiya,"normal, reverse, holo",Protoshock,XY,164
xy5-33,33,Hydropi,60,Wasser,,Basis,Häufig,Aya Kusube,"normal, reverse, holo",Protoshock,XY,164
xy5-34,34,Moorabbel,90,Wasser,Hydropi,Rang 1,Ungewöhnlich,sui,"normal, reverse, holo",Protoshock,XY,164
xy5-35,35,Sumpex,150,Wasser,Moorabbel,Rang 2,Selten,Shigenori Negishi,"normal, reverse, holo",Protoshock,XY,164
xy5-36,36,Sumpex,140,Wasser,Moorabbel,Rang 2,Selten,Shin Nagasawa,"normal, reverse, holo",Protoshock,XY,164
xy5-37,37,Kappalores,130,Wasser,Lombrero,Rang 2,Selten,kawayoo,"normal, reverse, holo",Protoshock,XY,164
xy5-38,38,Wailord EX,250,Wasser,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Protoshock,XY,164
xy5-39,39,Schmerbe,50,Wasser,,Basis,Häufig,Kyoko Umemoto,"normal, reverse, holo",Protoshock,XY,164
xy5-40,40,Welsar,100,Wasser,Schmerbe,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Protoshock,XY,164
xy5-41,41,Welsar,110,Wasser,Schmerbe,Rang 1,Selten,PLANETA,"normal, reverse, holo",Protoshock,XY,164
xy5-42,42,Krebscorps,60,Wasser,,Basis,Häufig,Shin Nagasawa,"normal, reverse, holo",Protoshock,XY,164
xy5-43,43,Barschwa,30,Wasser,,Basis,Häufig,Suwama Chiaki,"normal, reverse, holo",Protoshock,XY,164
xy5-44,44,Milotic,110,Wasser,Barschwa,Rang 1,Selten,Sanosuke Sakuma,"normal, reverse, holo",Protoshock,XY,164
xy5-45,45,Seemops,60,Wasser,,Basis,Häufig,TOKIYA,"normal, reverse, holo",Protoshock,XY,164
xy5-46,46,Seemops,70,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Protoshock,XY,164
xy5-47,47,Seejong,90,Wasser,Seemops,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Protoshock,XY,164
xy5-48,48,Walraisa,150,Wasser,Seejong,Rang 2,Selten,Satoshi Shirai,"normal, reverse, holo",Protoshock,XY,164
xy5-49,49,Perlu,50,Wasser,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse, holo",Protoshock,XY,164
xy5-50,50,Aalabyss,100,Wasser,Perlu,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Protoshock,XY,164
xy5-51,51,Saganabyss,80,Wasser,Perlu,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse, holo",Protoshock,XY,164
xy5-52,52,Saganabyss,90,Wasser,Perlu,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Protoshock,XY,164
xy5-53,53,Kyogre,130,Wasser,,Basis,Selten,Mitsuhiro Arita,"normal, reverse, holo",Protoshock,XY,164
xy5-54,54,Kyogre EX,180,Wasser,,Basis,Ultra Selten,Ryota Murayama,"normal, reverse, holo",Protoshock,XY,164
xy5-55,55,ProtoKyogre EX,240,Wasser,Kyogre-EX,MEGA,Ultra Selten,5ban Graphics,"normal, reverse, holo",Protoshock,XY,164
xy5-56,56,Manaphy,70,Wasser,,Basis,Selten,sui,"normal, reverse, holo",Protoshock,XY,164
xy5-57,57,Lampi,70,Elektro,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Protoshock,XY,164
xy5-58,58,Lanturn,100,Elektro,Lampi,Rang 1,Ungewöhnlich,MAHOU,"normal, reverse, holo",Protoshock,XY,164
xy5-59,59,Frizelbliz,60,Elektro,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Protoshock,XY,164
xy5-60,60,Frizelbliz,50,Elektro,,Basis,Ungewöhnlich,Sanosuke Sakuma,"normal, reverse, holo",Protoshock,XY,164
xy5-61,61,Voltenso,100,Elektro,Frizelbliz,Rang 1,Selten,Naoki Saito,"normal, reverse, holo",Protoshock,XY,164
xy5-62,62,Zapplardin,40,Elektro,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Protoshock,XY,164
xy5-63,63,Zapplalek,90,Elektro,Zapplardin,Rang 1,Ungewöhnlich,match,"normal, reverse, holo",Protoshock,XY,164
xy5-64,64,Zapplalek,90,Elektro,Zapplardin,Rang 1,Selten,Naoki Saito,"normal, reverse, holo",Protoshock,XY,164
xy5-65,65,Zapplarang,140,Elektro,Zapplalek,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",Protoshock,XY,164
xy5-66,66,Nidoran♀,60,Psycho,,Basis,Häufig,Mizue,"normal, reverse, holo",Protoshock,XY,164
