id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
P-A-001,001,Potion,,,,,None,5ban Graphics,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-002,002,X Speed,,,,,None,Toyste Beach,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-003,003,Hand Scope,,,,,None,Toyste Beach,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-004,004,Pokédex,,,,,None,Ryo Ueda,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-005,005,Poké Ball,,,,,None,Ryo Ueda,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-006,006,Red Card,,,,,None,5ban Graphics,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-007,007,Professor's Research,,,,,None,Naoki Saito,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-008,008,Pokédex,,,,,None,Yuu Nishida,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-009,009,Pikachu,60,Lightning,,Basic,None,Atsushi Furusawa,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-010,010,Mewtwo,120,Psychic,,Basic,None,Krgc,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-011,011,Chansey,120,Colorless,,Basic,None,sowsow,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-012,012,Meowth,60,Colorless,,Basic,None,Shigenori Negishi,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-013,013,Butterfree,120,Grass,Metapod,Stage2,None,miki kudo,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-014,014,Lapras ex,140,Water,,Basic,None,PLANETA CG Works,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-015,015,Pikachu,60,Lightning,,Basic,None,Kouki Saitou,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-016,016,Clefairy,60,Psychic,,Basic,None,Shibuzoh.,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-017,017,Mankey,50,Fighting,,Basic,None,Souichirou Gunjima,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-018,018,Venusaur,160,Grass,Ivysaur,Stage2,None,Kuroimori,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-019,019,Greninja,120,Water,Frogadier,Stage2,None,Sanosuke Sakuma,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-020,020,Haunter,70,Psychic,Gastly,Stage1,None,Mékayu,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-021,021,Onix,110,Fighting,,Basic,None,Tomokazu Komiya,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-022,022,Jigglypuff,50,Colorless,,Basic,None,Kurata So,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-023,023,Bulbasaur,70,Grass,,Basic,None,Kouki Saitou,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-024,024,Magnemite,60,Lightning,,Basic,None,Miki Tanaka,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-025,025,Moltres ex,140,Fire,,Basic,None,PLANETA Igarashi,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-026,026,Pikachu,60,Lightning,,Basic,None,Kouki Saitou,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-027,027,Snivy,60,Grass,,Basic,None,Yoriyuki Ikegami,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-028,028,Volcarona,120,Fire,Larvesta,Stage1,None,Shin Nagasawa,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
P-A-029,029,Blastoise,150,Water,Wartortle,Stage2,None,danciao,"normal, reverse, holo",Promos-A,Pokémon TCG Pocket,100
