id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex1-1,1,Aggron,110,Metal,Lairon,Stage2,Rare,Mitsuhiro Arita,"reverse, holo",Ruby & Sapphire,EX,109
ex1-2,2,Beautifly,80,Grass,Silcoon,Stage2,Rare,Hajime Kusajima,"reverse, holo",Ruby & Sapphire,EX,109
ex1-3,3,Blaziken,100,Fire,Combusken,Stage2,Rare,Kouki Saitou,"reverse, holo",Ruby & Sapphire,EX,109
ex1-4,4,Camerupt,90,Fire,Numel,Stage1,Rare,Ken Sugimori,"reverse, holo",Ruby & Sapphire,EX,109
ex1-5,5,Delcatty,70,Colorless,Skitty,Stage1,Rare,Atsuko Nishida,"reverse, holo",Ruby & Sapphire,EX,109
ex1-6,6,Dustox,90,Grass,Cascoon,Stage2,Rare,Midori Harada,"reverse, holo",Ruby & Sapphire,EX,109
ex1-7,7,Gardevoir,100,Psychic,Kirlia,Stage2,Rare,Ken Sugimori,"reverse, holo",Ruby & Sapphire,EX,109
ex1-8,8,Hariyama,90,Fighting,Makuhita,Stage1,Rare,Naoyo Kimura,"reverse, holo",Ruby & Sapphire,EX,109
ex1-9,9,Manectric,70,Lightning,Electrike,Stage1,Rare,Mitsuhiro Arita,"reverse, holo",Ruby & Sapphire,EX,109
ex1-10,10,Mightyena,70,Darkness,Poochyena,Stage1,Rare,Atsuko Nishida,"reverse, holo",Ruby & Sapphire,EX,109
ex1-11,11,Sceptile,120,Grass,Grovyle,Stage2,Rare,Midori Harada,"reverse, holo",Ruby & Sapphire,EX,109
ex1-12,12,Slaking,120,Colorless,Vigoroth,Stage2,Rare,Ken Sugimori,"reverse, holo",Ruby & Sapphire,EX,109
ex1-13,13,Swampert,110,Water,Marshtomp,Stage2,Rare,Mitsuhiro Arita,"reverse, holo",Ruby & Sapphire,EX,109
ex1-14,14,Wailord,120,Water,Wailmer,Stage1,Rare,Ken Sugimori,"reverse, holo",Ruby & Sapphire,EX,109
ex1-15,15,Blaziken,110,Fire,Combusken,Stage2,Rare,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-16,16,Breloom,70,Grass,Shroomish,Stage1,Rare,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-17,17,Donphan,80,Fighting,Phanpy,Stage1,Rare,Kagemaru Himeno,"normal, reverse",Ruby & Sapphire,EX,109
ex1-18,18,Nosepass,60,Fighting,,Basic,Rare,Mitsuhiro Arita,"normal, reverse",Ruby & Sapphire,EX,109
ex1-19,19,Pelipper,70,Water,Wingull,Stage1,Rare,Kouki Saitou,"normal, reverse",Ruby & Sapphire,EX,109
ex1-20,20,Sceptile,100,Grass,Grovyle,Stage2,Rare,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-21,21,Seaking,70,Water,Goldeen,Stage1,Rare,Hajime Kusajima,"normal, reverse",Ruby & Sapphire,EX,109
ex1-22,22,Sharpedo,70,Water,Carvanha,Stage1,Rare,Hajime Kusajima,"normal, reverse",Ruby & Sapphire,EX,109
ex1-23,23,Swampert,100,Water,Marshtomp,Stage2,Rare,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-24,24,Weezing,80,Grass,Koffing,Stage1,Rare,Atsuko Nishida,"normal, reverse",Ruby & Sapphire,EX,109
ex1-25,25,Aron,50,Metal,,Basic,Uncommon,Midori Harada,"normal, reverse",Ruby & Sapphire,EX,109
ex1-26,26,Cascoon,70,Grass,Wurmple,Stage1,Uncommon,Midori Harada,"normal, reverse",Ruby & Sapphire,EX,109
ex1-27,27,Combusken,70,Fire,Torchic,Stage1,Uncommon,Kouki Saitou,"normal, reverse",Ruby & Sapphire,EX,109
ex1-28,28,Combusken,80,Fire,Torchic,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-29,29,Delcatty,80,Colorless,Skitty,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-30,30,Electrike,50,Lightning,,Basic,Uncommon,Hajime Kusajima,"normal, reverse",Ruby & Sapphire,EX,109
ex1-31,31,Grovyle,70,Grass,Treecko,Stage1,Uncommon,Midori Harada,"normal, reverse",Ruby & Sapphire,EX,109
ex1-32,32,Grovyle,80,Grass,Treecko,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-33,33,Hariyama,80,Fighting,Makuhita,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-34,34,Kirlia,70,Psychic,Ralts,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-35,35,Kirlia,70,Psychic,Ralts,Stage1,Uncommon,Atsuko Nishida,"normal, reverse",Ruby & Sapphire,EX,109
ex1-36,36,Lairon,70,Metal,Aron,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-37,37,Lairon,80,Metal,Aron,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Ruby & Sapphire,EX,109
ex1-38,38,Linoone,70,Colorless,Zigzagoon,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-39,39,Manectric,70,Lightning,Electrike,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-40,40,Marshtomp,70,Water,Mudkip,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Ruby & Sapphire,EX,109
ex1-41,41,Marshtomp,80,Water,Mudkip,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-42,42,Mightyena,70,Darkness,Poochyena,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-43,43,Silcoon,60,Grass,Wurmple,Stage1,Uncommon,Hajime Kusajima,"normal, reverse",Ruby & Sapphire,EX,109
ex1-44,44,Skitty,40,Colorless,,Basic,Uncommon,Midori Harada,"normal, reverse",Ruby & Sapphire,EX,109
ex1-45,45,Slakoth,40,Colorless,,Basic,Uncommon,Kagemaru Himeno,"normal, reverse",Ruby & Sapphire,EX,109
ex1-46,46,Swellow,70,Colorless,Taillow,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Ruby & Sapphire,EX,109
ex1-47,47,Vigoroth,70,Colorless,Slakoth,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse",Ruby & Sapphire,EX,109
