id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
smp-SM01,SM01,Rowlet,50,Grass,,Basic,Rare,Mitsuhiro Arita,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM02,SM02,Litten,60,Fire,,Basic,Rare,Megumi Mizutani,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM03,SM03,Popplio,60,Water,,Basic,Rare,match,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM04,SM04,Pikachu,70,Lightning,,Basic,Common,kirisAki,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM05,SM05,Snorlax GX,190,Colorless,,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM06,SM06,Rockruff,60,Fighting,,Basic,Rare,match,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM07,SM07,Pikipek,60,Colorless,,Basic,Rare,match,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM08,SM08,Litten,60,Fire,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM09,SM09,Togedemaru,70,Lightning,,Basic,Rare,match,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM10,SM10,Shiinotic,100,Grass,Morelull,Stage1,Rare,Mizue,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM100,SM100,Lucario GX,210,Fighting,Riolu,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM101,SM101,Dawn Wings Necrozma GX,180,Psychic,,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM102,SM102,Dusk Mane Necrozma GX,190,Metal,,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM103,SM103,Lunala GX,230,Psychic,Cosmoem,Stage2,Rare,PLANETA,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM104,SM104,Solgaleo GX,250,Metal,Cosmoem,Stage2,Rare,PLANETA,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM105,SM105,Lycanroc,120,Fighting,Rockruff,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM106,SM106,Dawn Wings Necrozma,130,Psychic,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM107,SM107,Dusk Mane Necrozma,130,Metal,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM108,SM108,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM109,SM109,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM11,SM11,Bruxish,110,Water,,Basic,Rare,Mizue,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM110,SM110,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM111,SM111,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM112,SM112,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM113,SM113,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM114,SM114,Ash's Pikachu,70,Lightning,,Basic,Common,2017 Pikachu Project,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM115,SM115,Pheromosa,110,Grass,,Basic,Rare,You Iribi,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM116,SM116,Xurkitree,120,Lightning,,Basic,Rare,TOKIYA,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM117,SM117,Malamar,90,Psychic,Inkay,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM118,SM118,Lycanroc,120,Fighting,Rockruff,Stage1,Rare,sui,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM119,SM119,Exeggcute,50,Grass,,Basic,Rare,OOYAMA,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM12,SM12,Passimian,110,Fighting,,Basic,Rare,Naoki Saito,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM120,SM120,Rockruff,50,Fighting,,Basic,Rare,Hideki Ishikawa,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM121,SM121,Raikou GX,170,Lightning,,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM122,SM122,Zygarde GX,180,Fighting,,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM123,SM123,Dawn Wings Necrozma,130,Psychic,,Basic,Rare,nagimiso,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM124,SM124,Dusk Mane Necrozma,130,Metal,,Basic,Rare,nagimiso,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM125,SM125,Naganadel GX,210,Psychic,Poipole,,Rare,5ban Graphics,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM126,SM126,Ultra Necrozma GX,190,Dragon,,Basic,Rare,PLANETA Otani,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM127,SM127,Alolan Sandslash,120,Metal,Alolan Sandshrew,Stage1,Rare,kirisAki,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
smp-SM128,SM128,Alolan Ninetales,110,Fairy,Alolan Vulpix,Stage1,Rare,kirisAki,"normal, reverse, holo",SM Black Star Promos,Sun & Moon,244
