id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex2-1,1,Armaldo,120,Kampf,,Rang 2,Selten,Mitsuhiro Arita,"reverse, holo",EX Sandsturm,EX,100
ex2-2,2,Noktuska,80,Pflanze,,Rang 1,Selten,Atsuko Nishida,"reverse, holo",EX Sandsturm,EX,100
ex2-3,3,Wielie,100,Pflanze,,Rang 2,Selten,Midori Harada,"reverse, holo",EX Sandsturm,EX,100
ex2-4,4,Zwirrklop,70,Psycho,,Rang 1,Selten,Midori Harada,"reverse, holo",EX Sandsturm,EX,100
ex2-5,5,Flamara,80,Feuer,,Rang 1,Selten,Midori Harada,"reverse, holo",EX Sandsturm,EX,100
ex2-6,6,Blitza,70,Elektro,,Rang 1,Selten,Atsuko Nishida,"reverse, holo",EX Sandsturm,EX,100
ex2-7,7,Kappalores,90,Wasser,,Rang 2,Selten,Tomokazu Komiya,"reverse, holo",EX Sandsturm,EX,100
ex2-8,8,Lunastein,60,Psycho,,Basis,Selten,Hajime Kusajima,"reverse, holo",EX Sandsturm,EX,100
ex2-9,9,Flunkifer,60,Metall,,Basis,Selten,Mitsuhiro Arita,"reverse, holo",EX Sandsturm,EX,100
ex2-10,10,Zobiris,60,Unlicht,,Basis,Selten,Hajime Kusajima,"reverse, holo",EX Sandsturm,EX,100
ex2-11,11,Vipitis,80,Pflanze,,Basis,Selten,Hajime Kusajima,"reverse, holo",EX Sandsturm,EX,100
ex2-12,12,Tengulist,120,Pflanze,,Rang 2,Selten,Atsuko Nishida,"reverse, holo",EX Sandsturm,EX,100
ex2-13,13,Sonnfel,70,Kampf,,Basis,Selten,Hajime Kusajima,"reverse, holo",EX Sandsturm,EX,100
ex2-14,14,Sengo,70,Farblos,,Basis,Selten,Kagemaru Himeno,"reverse, holo",EX Sandsturm,EX,100
ex2-15,15,Arkani,80,Feuer,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",EX Sandsturm,EX,100
ex2-16,16,Psiana,80,Psycho,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",EX Sandsturm,EX,100
ex2-17,17,Entoron,70,Wasser,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",EX Sandsturm,EX,100
ex2-18,18,Kecleon,60,Farblos,,Basis,Selten,Kagemaru Himeno,"normal, reverse",EX Sandsturm,EX,100
ex2-19,19,Amoroso,110,Wasser,,Rang 2,Selten,Kouki Saitou,"normal, reverse",EX Sandsturm,EX,100
ex2-20,20,Pichu,40,Elektro,,Basis,Selten,Naoyo Kimura,"normal, reverse",EX Sandsturm,EX,100
ex2-21,21,Sandamer,70,Kampf,,Rang 1,Selten,Kouki Saitou,"normal, reverse",EX Sandsturm,EX,100
ex2-22,22,Tengulist,120,Pflanze,,Rang 2,Selten,Ken Sugimori,"normal, reverse",EX Sandsturm,EX,100
ex2-23,23,Stahlos,100,Metall,,Rang 1,Selten,Midori Harada,"normal, reverse",EX Sandsturm,EX,100
ex2-24,24,Nachtara,80,Unlicht,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",EX Sandsturm,EX,100
ex2-25,25,Aquana,70,Wasser,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",EX Sandsturm,EX,100
