id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex2-1,1,Armaldo,120,Fighting,Anorith,Stage2,Rare,Mitsuhiro Arita,"reverse, holo",Sandstorm,EX,100
ex2-2,2,Cacturne,80,Grass,Cacnea,Stage1,Rare,Atsuko Nishida,"reverse, holo",Sandstorm,EX,100
ex2-3,3,Cradily,100,Grass,Lileep,Stage2,Rare,Midori Harada,"reverse, holo",Sandstorm,EX,100
ex2-4,4,Dusclops,70,Psychic,Duskull,Stage1,Rare,Midori Harada,"reverse, holo",Sandstorm,EX,100
ex2-5,5,Flareon,80,Fire,Eevee,Stage1,Rare,Midori Harada,"reverse, holo",Sandstorm,EX,100
ex2-6,6,Jolteon,70,Lightning,Eevee,Stage1,Rare,Atsuko Nishida,"reverse, holo",Sandstorm,EX,100
ex2-7,7,Ludicolo,90,Water,Lombre,Stage2,Rare,Tomokazu Komiya,"reverse, holo",Sandstorm,EX,100
ex2-8,8,Lunatone,60,Psychic,,Basic,Rare,Hajime Kusajima,"reverse, holo",Sandstorm,EX,100
ex2-9,9,Mawile,60,Metal,,Basic,Rare,Mitsuhiro Arita,"reverse, holo",Sandstorm,EX,100
ex2-10,10,Sableye,60,Darkness,,Basic,Rare,Hajime Kusajima,"reverse, holo",Sandstorm,EX,100
ex2-11,11,Seviper,80,Grass,,Basic,Rare,Hajime Kusajima,"reverse, holo",Sandstorm,EX,100
ex2-12,12,Shiftry,120,Grass,Nuzleaf,Stage2,Rare,Atsuko Nishida,"reverse, holo",Sandstorm,EX,100
ex2-13,13,Solrock,70,Fighting,,Basic,Rare,Hajime Kusajima,"reverse, holo",Sandstorm,EX,100
ex2-14,14,Zangoose,70,Colorless,,Basic,Rare,Kagemaru Himeno,"reverse, holo",Sandstorm,EX,100
ex2-15,15,Arcanine,80,Fire,Growlithe,Stage1,Rare,Hajime Kusajima,"normal, reverse",Sandstorm,EX,100
ex2-16,16,Espeon,80,Psychic,Eevee,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Sandstorm,EX,100
ex2-17,17,Golduck,70,Water,Psyduck,Stage1,Rare,Hajime Kusajima,"normal, reverse",Sandstorm,EX,100
ex2-18,18,Kecleon,60,Colorless,,Basic,Rare,Kagemaru Himeno,"normal, reverse",Sandstorm,EX,100
ex2-19,19,Omastar,110,Water,Omanyte,Stage2,Rare,Kouki Saitou,"normal, reverse",Sandstorm,EX,100
ex2-20,20,Pichu,40,Lightning,,Basic,Rare,Naoyo Kimura,"normal, reverse",Sandstorm,EX,100
